system,step,T_C,T_K,isotope_pair,quantity,replicate,value,source_DOI,PMCID,source_table,license,rate_class
hsTSase,hydride_transfer,5.0,278.15,H/T,observed_competitive_KIE,1,2.35,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,observed_competitive_KIE,2,2.38,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,observed_competitive_KIE,3,2.42,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,observed_competitive_KIE,4,2.32,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,observed_competitive_KIE,5,2.34,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,D/T,observed_competitive_KIE,1,1.49,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,D/T,observed_competitive_KIE,2,1.49,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,D/T,observed_competitive_KIE,3,1.5,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,D/T,observed_competitive_KIE,4,1.48,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,D/T,observed_competitive_KIE,5,1.48,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,D/T,observed_competitive_KIE,6,1.5,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,1,12.1,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,2,11.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,3,12.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,4,10.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,5,11.0,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,6,12.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,5.0,278.15,H/T,intrinsic_KIE_Northrop,7,11.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
