system,step,T_C,T_K,isotope_pair,KIE,KIE_sd,n_rep
hsTSase,hydride_transfer,5.0,278.15,D/T,1.49,0.008944271909999166,6
hsTSase,hydride_transfer,5.0,278.15,H/T,2.3619999999999997,0.03898717737923574,5
hsTSase,hydride_transfer,15.0,288.15,D/T,1.566,0.015165750888103097,5
hsTSase,hydride_transfer,15.0,288.15,H/T,2.71,0.04301162633521308,5
hsTSase,hydride_transfer,25.0,298.15,D/T,1.614,0.008944271909999147,5
hsTSase,hydride_transfer,25.0,298.15,H/T,3.052,0.031144823004794812,5
hsTSase,hydride_transfer,35.0,308.15,D/T,1.6599999999999997,0.018708286933869753,5
hsTSase,hydride_transfer,35.0,308.15,H/T,3.4425,0.03304037933599833,4
hsTSase,proton_abstraction,5.0,278.15,D/T,1.3675,0.0189296944860009,4
hsTSase,proton_abstraction,5.0,278.15,H/T,1.7920000000000003,0.02949576240750528,5
hsTSase,proton_abstraction,15.0,288.15,D/T,1.3457142857142856,0.009759000729485361,7
hsTSase,proton_abstraction,15.0,288.15,H/T,1.7975,0.028722813232690173,4
hsTSase,proton_abstraction,25.0,298.15,D/T,1.2325,0.009574271077563376,4
hsTSase,proton_abstraction,25.0,298.15,H/T,1.5375,0.022173557826083476,4
hsTSase,proton_abstraction,35.0,308.15,D/T,1.3095726493098137,0.011723279068191997,5
hsTSase,proton_abstraction,35.0,308.15,H/T,1.9057649663380754,0.030721369275221722,4
