series,system,variant,transfer_step,isotope_pair,rate_class,T_C,T_K,k_light,k_heavy,KIE,KIE_se,pH,source_DOI,PMCID,source_table,notes
ecDHFR WT,Escherichia coli dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,5,278.15,21.3,7.07,3.02,,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 3,Source reports KIE separately from rounded rates; KIE column is the source value.
ecDHFR WT,Escherichia coli dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,15,288.15,31.8,9.95,3.19,,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 3,
ecDHFR WT,Escherichia coli dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,25,298.15,30.0,10.1,2.96,,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 3,
ecDHFR WT,Escherichia coli dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,35,308.15,38.8,13.1,2.96,,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 3,
ecDHFR WT,Escherichia coli dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,45,318.15,45.7,16.2,2.82,,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 3,
hsDHFR WT,Homo sapiens dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,5,278.15,7.5,2.5,2.9,0.05,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 5,Source reports a break between 15 and 25 C attributed to a promoting vibration.
hsDHFR WT,Homo sapiens dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,15,288.15,12.0,4.3,2.9,0.2,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 5,
hsDHFR WT,Homo sapiens dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,25,298.15,25.0,15.0,1.6,0.2,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 5,
hsDHFR WT,Homo sapiens dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,35,308.15,54.0,37.0,1.5,0.3,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 5,
hsDHFR WT,Homo sapiens dihydrofolate reductase,WT,hydride,H/D,pre_steady_state,45,318.15,88.0,66.0,1.4,0.2,9.0,10.1021/acs.jpcb.2c05112,PMC9509475,Table 5,
17X-PTDH parent,Engineered phosphite dehydrogenase 17X,17X parent,hydride,H/D,kcat,5,278.15,,,2.30,0.05,7.25,10.1021/acs.biochem.9b00732,PMC6852621,Table 1,
17X-PTDH parent,Engineered phosphite dehydrogenase 17X,17X parent,hydride,H/D,kcat,25,298.15,,,2.27,0.05,7.25,10.1021/acs.biochem.9b00732,PMC6852621,Table 1,
17X-PTDH parent,Engineered phosphite dehydrogenase 17X,17X parent,hydride,H/D,kcat,45,318.15,,,2.23,0.09,7.25,10.1021/acs.biochem.9b00732,PMC6852621,Table 1,
