w g
0.0001 2.303320766
0.0001059406557 2.303326432
0.0001122342253 2.303332435
0.0001189016742 2.303338795
0.0001259652133 2.303345532
0.000133448373 2.303352669
0.0001413760814 2.30336023
0.0001497747476 2.303368241
0.0001586723497 2.303376726
0.0001680985277 2.303385716
0.0001780846825 2.30339524
0.0001886640804 2.303405329
0.0001998719639 2.303416018
0.0002117456691 2.303427341
0.0002243247503 2.303439337
0.0002376511114 2.303452044
0.0002517691457 2.303465507
0.0002667258838 2.303479768
0.0002825711503 2.303494877
0.0002993577295 2.303510882
0.0003171415415 2.303527838
0.0003359818286 2.3035458
0.0003559413523 2.303564829
0.0003770866026 2.303584987
0.0003994880194 2.303606342
0.0004232202272 2.303628965
0.0004483622838 2.30365293
0.0004749979435 2.303678318
0.0005032159359 2.303705212
0.0005331102622 2.303733702
0.0005647805074 2.303763883
0.0005983321729 2.303795855
0.0006338770273 2.303829724
0.0006715334791 2.303865602
0.0007114269711 2.303903609
0.0007536903981 2.30394387
0.0007984645498 2.303986519
0.0008458985797 2.304031698
0.0008961505019 2.304079555
0.0009493877179 2.304130251
0.001005787574 2.304183953
0.001065537951 2.304240838
0.001128837892 2.304301094
0.001195898264 2.304364923
0.001266942463 2.304432533
0.001342207153 2.30450415
0.001421943059 2.304580009
0.0015064158 2.304660362
0.001595906776 2.304745473
0.001690714103 2.304835624
0.001791153607 2.304931111
0.001897559877 2.305032251
0.002010287376 2.305139375
0.002129711628 2.305252836
0.002256230463 2.305373008
0.002390265347 2.305500286
0.002532262782 2.305635088
0.002682695795 2.305777856
0.002842065516 2.305929058
0.003010902844 2.30608919
0.003189770215 2.306258776
0.003379263482 2.30643837
0.003580013891 2.306628558
0.003792690191 2.306829962
0.004018000857 2.307043237
0.004256696455 2.307269077
0.004509572136 2.307508216
0.00477747029 2.307761429
0.005061283352 2.308029536
0.005361956771 2.308313405
0.005680492162 2.308613952
0.006017950644 2.308932144
0.006375456372 2.309269005
0.006754200286 2.309625615
0.007155444071 2.310003116
0.007580524368 2.310402713
0.008030857221 2.31082568
0.0085079428 2.311273359
0.00901337039 2.311747169
0.009548823692 2.312248607
0.01011608643 2.31277925
0.0107170483 2.313340763
0.01135371124 2.313934902
0.01202819614 2.314563517
0.01274274986 2.315228557
0.01349975275 2.315932077
0.01430172659 2.316676238
0.01515134292 2.317463318
0.01605143204 2.318295711
0.01700499236 2.319175938
0.01801520041 2.320106647
0.01908542144 2.321090622
0.02021922062 2.322130787
0.0214203749 2.323230211
0.02269288563 2.324392114
0.02404099184 2.325619873
0.02546918439 2.326917028
0.02698222095 2.328287282
0.0285851418 2.329734515
0.03028328666 2.33126278
0.03208231245 2.332876314
0.03398821218 2.33457954
0.03600733485 2.33637707
0.03814640664 2.338273708
0.04041255333 2.340274457
0.04281332399 2.342384515
0.04535671616 2.344609281
0.04805120251 2.346954354
0.05090575902 2.349425532
0.0539298949 2.352028809
0.05713368428 2.354770374
0.06052779976 2.357656605
0.06412354796 2.360694065
0.06793290717 2.363889487
0.0719685673 2.367249773
0.0762439721 2.370781974
0.08077336399 2.374493279
0.08557183145 2.378390995
0.09065535934 2.382482529
0.09604088213 2.386775361
0.1017463403 2.391277022
0.10779074 2.395995057
0.1141942168 2.400936998
0.1209781021 2.406110322
0.1281649946 2.41152241
0.1357788357 2.417180503
0.1438449888 2.42309165
0.1523903244 2.429262656
0.1614433089 2.435700024
0.1710341 2.442409891
0.1811946471 2.449397964
0.1919587972 2.456669454
0.2033624085 2.464228997
0.215443469 2.472080584
0.2282422238 2.480227478
0.2418013085 2.488672142
0.2561658917 2.497416152
0.2713838254 2.506460118
0.2875058041 2.515803604
0.3045855341 2.525445046
0.322679912 2.535381682
0.3418492146 2.545609469
0.3621572995 2.556123019
0.3836718178 2.566915538
0.4064644396 2.57797876
0.4306110925 2.589302907
0.456192215 2.600876637
0.4832930239 2.612687021
0.5120037985 2.624719513
0.5424201814 2.63695794
0.5746434969 2.649384498
0.6087810886 2.661979761
0.6449466771 2.674722699
0.6832607387 2.687590703
0.7238509068 2.700559625
0.7668523971 2.713603817
0.8124084578 2.72669619
0.8606708472 2.739808261
0.9118003391 2.752910217
0.965967258 2.765970979
1.023352047 2.778958258
1.084145869 2.791838624
1.148551242 2.804577555
