w g
0.0001 2.303320766
0.0001059406557 2.303326432
0.0001122342253 2.303332435
0.0001189016742 2.303338795
0.0001259652133 2.303345532
0.000133448373 2.303352669
0.0001413760814 2.30336023
0.0001497747476 2.303368241
0.0001586723497 2.303376727
0.0001680985277 2.303385716
0.0001780846825 2.30339524
0.0001886640804 2.30340533
0.0001998719639 2.303416018
0.0002117456691 2.303427341
0.0002243247503 2.303439337
0.0002376511114 2.303452045
0.0002517691457 2.303465507
0.0002667258838 2.303479769
0.0002825711503 2.303494877
0.0002993577295 2.303510883
0.0003171415415 2.303527839
0.0003359818286 2.303545801
0.0003559413523 2.30356483
0.0003770866026 2.303584988
0.0003994880194 2.303606343
0.0004232202272 2.303628966
0.0004483622838 2.303652931
0.0004749979435 2.303678319
0.0005032159359 2.303705213
0.0005331102622 2.303733704
0.0005647805074 2.303763885
0.0005983321729 2.303795857
0.0006338770273 2.303829726
0.0006715334791 2.303865604
0.0007114269711 2.303903611
0.0007536903981 2.303943872
0.0007984645498 2.303986522
0.0008458985797 2.304031701
0.0008961505019 2.304079559
0.0009493877179 2.304130255
0.001005787574 2.304183957
0.001065537951 2.304240843
0.001128837892 2.304301101
0.001195898264 2.30436493
0.001266942463 2.304432541
0.001342207153 2.304504159
0.001421943059 2.304580019
0.0015064158 2.304660373
0.001595906776 2.304745485
0.001690714103 2.304835638
0.001791153607 2.304931127
0.001897559877 2.305032268
0.002010287376 2.305139394
0.002129711628 2.305252858
0.002256230463 2.305373032
0.002390265347 2.305500313
0.002532262782 2.305635118
0.002682695795 2.30577789
0.002842065516 2.305929096
0.003010902844 2.306089233
0.003189770215 2.306258824
0.003379263482 2.306438424
0.003580013891 2.30662862
0.003792690191 2.306830031
0.004018000857 2.307043314
0.004256696455 2.307269164
0.004509572136 2.307508313
0.00477747029 2.307761538
0.005061283352 2.308029659
0.005361956771 2.308313543
0.005680492162 2.308614106
0.006017950644 2.308932317
0.006375456372 2.309269199
0.006754200286 2.309625834
0.007155444071 2.310003361
0.007580524368 2.310402989
0.008030857221 2.310825989
0.0085079428 2.311273707
0.00901337039 2.31174756
0.009548823692 2.312249045
0.01011608643 2.312779742
0.0107170483 2.313341315
0.01135371124 2.313935522
0.01202819614 2.314564213
0.01274274986 2.315229339
0.01349975275 2.315932955
0.01430172659 2.316677224
0.01515134292 2.317464425
0.01605143204 2.318296955
0.01700499236 2.319177335
0.01801520041 2.320108216
0.01908542144 2.321092384
0.02021922062 2.322132766
0.0214203749 2.323232434
0.02269288563 2.324394612
0.02404099184 2.325622679
0.02546918439 2.32692018
0.02698222095 2.328290824
0.0285851418 2.329738494
0.03028328666 2.331267251
0.03208231245 2.332881339
0.03398821218 2.334585187
0.03600733485 2.336383416
0.03814640664 2.338280842
0.04041255333 2.340282475
0.04281332399 2.342393529
0.04535671616 2.344619415
0.04805120251 2.346965749
0.05090575902 2.349438345
0.0539298949 2.352043218
0.05713368428 2.354786579
0.06052779976 2.357674833
0.06412354796 2.36071457
0.06793290717 2.363912556
0.0719685673 2.36727573
0.0762439721 2.370811184
0.08077336399 2.374526154
0.08557183145 2.378428
0.09065535934 2.382524188
0.09604088213 2.386822266
0.1017463403 2.39132984
0.10779074 2.396054544
0.1141942168 2.401004006
0.1209781021 2.406185813
0.1281649946 2.411607471
0.1357788357 2.417276363
0.1438449888 2.423199697
0.1523903244 2.429384461
0.1614433089 2.435837361
0.1710341 2.442564766
0.1811946471 2.449572649
0.1919587972 2.456866515
0.2033624085 2.464451339
0.215443469 2.472331491
0.2282422238 2.480510669
0.2418013085 2.488991824
0.2561658917 2.497777085
0.2713838254 2.506867689
0.2875058041 2.51626391
0.3045855341 2.525964988
0.322679912 2.535969067
0.3418492146 2.546273132
0.3621572995 2.556872958
0.3836718178 2.567763062
0.4064644396 2.578936663
0.4306110925 2.590385658
0.456192215 2.602100598
0.4832930239 2.614070686
0.5120037985 2.626283783
0.5424201814 2.638726429
0.5746434969 2.651383873
0.6087810886 2.664240127
0.6449466771 2.677278023
0.6832607387 2.690479293
0.7238509068 2.70382466
0.7668523971 2.717293937
0.8124084578 2.730866147
0.8606708472 2.744519645
0.9118003391 2.758232255
0.965967258 2.771981412
1.023352047 2.785744308
1.084145869 2.799498042
1.148551242 2.813219777
