T kht kdt
3 2.295577525 1.47711775
3.213836478 2.302388296 1.478647667
3.427672956 2.309215808 1.480174717
3.641509434 2.316059967 1.481698866
3.855345912 2.32292068 1.483220082
4.06918239 2.329797851 1.484738331
4.283018868 2.336691383 1.486253581
4.496855346 2.34360118 1.487765801
4.710691824 2.350527143 1.489274957
4.924528302 2.357469174 1.49078102
5.13836478 2.364427173 1.492283956
5.352201258 2.371401039 1.493783737
5.566037736 2.37839067 1.49528033
5.779874214 2.385395963 1.496773706
5.993710692 2.392416816 1.498263834
6.20754717 2.399453123 1.499750685
6.421383648 2.40650478 1.50123423
6.635220126 2.41357168 1.502714438
6.849056604 2.420653716 1.504191282
7.062893082 2.42775078 1.505664733
7.27672956 2.434862763 1.507134763
7.490566038 2.441989556 1.508601343
7.704402516 2.449131047 1.510064446
7.918238994 2.456287127 1.511524045
8.132075472 2.463457681 1.512980113
8.34591195 2.470642598 1.514432622
8.559748428 2.477841762 1.515881548
8.773584906 2.48505506 1.517326863
8.987421384 2.492282375 1.518768541
9.201257862 2.499523592 1.520206558
9.41509434 2.506778592 1.521640889
9.628930818 2.514047257 1.523071507
9.842767296 2.521329468 1.524498389
10.05660377 2.528625107 1.525921511
10.27044025 2.535934051 1.527340849
10.48427673 2.54325618 1.528756378
10.69811321 2.550591371 1.530168076
10.91194969 2.557939502 1.53157592
11.12578616 2.565300448 1.532979887
11.33962264 2.572674085 1.534379955
11.55345912 2.580060287 1.535776101
11.7672956 2.587458929 1.537168303
11.98113208 2.594869884 1.538556542
12.19496855 2.602293024 1.539940794
12.40880503 2.60972822 1.54132104
12.62264151 2.617175344 1.542697258
12.83647799 2.624634266 1.544069429
13.05031447 2.632104854 1.545437533
13.26415094 2.639586979 1.546801549
13.47798742 2.647080507 1.54816146
13.6918239 2.654585307 1.549517245
13.90566038 2.662101244 1.550868886
14.11949686 2.669628185 1.552216365
14.33333333 2.677165994 1.553559663
14.54716981 2.684714537 1.554898763
14.76100629 2.692273677 1.556233647
14.97484277 2.699843278 1.557564298
15.18867925 2.707423201 1.558890699
15.40251572 2.715013309 1.560212834
15.6163522 2.722613463 1.561530685
15.83018868 2.730223524 1.562844238
16.04402516 2.737843352 1.564153477
16.25786164 2.745472805 1.565458386
16.47169811 2.753111744 1.566758949
16.68553459 2.760760025 1.568055153
16.89937107 2.768417507 1.569346982
17.11320755 2.776084046 1.570634422
17.32704403 2.783759499 1.57191746
17.5408805 2.791443722 1.573196082
17.75471698 2.79913657 1.574470274
17.96855346 2.806837897 1.575740023
18.18238994 2.814547558 1.577005317
18.39622642 2.822265407 1.578266142
18.61006289 2.829991296 1.579522487
18.82389937 2.837725079 1.58077434
19.03773585 2.845466607 1.582021689
19.25157233 2.853215731 1.583264523
19.46540881 2.860972303 1.58450283
19.67924528 2.868736174 1.5857366
19.89308176 2.876507193 1.586965821
20.10691824 2.884285211 1.588190485
20.32075472 2.892070076 1.589410581
20.53459119 2.899861637 1.590626098
20.74842767 2.907659742 1.591837028
20.96226415 2.915464239 1.593043362
21.17610063 2.923274977 1.594245089
21.38993711 2.9310918 1.595442203
