T kht kdt
3 2.300406671 1.47856517
3.213836478 2.307029276 1.480031901
3.427672956 2.313669099 1.481496344
3.641509434 2.320326081 1.482958473
3.855345912 2.327000165 1.484418263
4.06918239 2.333691291 1.48587569
4.283018868 2.340399398 1.487330727
4.496855346 2.347124427 1.488783352
4.710691824 2.353866316 1.490233538
4.924528302 2.360625004 1.491681263
5.13836478 2.367400427 1.493126501
5.352201258 2.374192523 1.49456923
5.566037736 2.381001228 1.496009426
5.779874214 2.387826478 1.497447066
5.993710692 2.394668207 1.498882126
6.20754717 2.401526351 1.500314584
6.421383648 2.408400844 1.501744417
6.635220126 2.415291618 1.503171604
6.849056604 2.422198606 1.504596121
7.062893082 2.42912174 1.506017947
7.27672956 2.436060952 1.507437061
7.490566038 2.443016173 1.508853441
7.704402516 2.449987333 1.510267066
7.918238994 2.456974361 1.511677914
8.132075472 2.463977187 1.513085967
8.34591195 2.470995739 1.514491202
8.559748428 2.478029946 1.5158936
8.773584906 2.485079735 1.517293141
8.987421384 2.492145031 1.518689805
9.201257862 2.499225763 1.520083572
9.41509434 2.506321855 1.521474424
9.628930818 2.513433232 1.522862341
9.842767296 2.520559819 1.524247305
10.05660377 2.527701541 1.525629296
10.27044025 2.534858319 1.527008298
10.48427673 2.542030078 1.528384291
10.69811321 2.54921674 1.529757258
10.91194969 2.556418226 1.531127181
11.12578616 2.563634457 1.532494043
11.33962264 2.570865355 1.533857826
11.55345912 2.578110839 1.535218515
11.7672956 2.58537083 1.536576091
11.98113208 2.592645245 1.537930539
12.19496855 2.599934004 1.539281843
12.40880503 2.607237025 1.540629986
12.62264151 2.614554225 1.541974954
12.83647799 2.621885521 1.543316729
13.05031447 2.62923083 1.544655297
13.26415094 2.636590068 1.545990644
13.47798742 2.643963149 1.547322753
13.6918239 2.65134999 1.548651612
13.90566038 2.658750505 1.549977204
14.11949686 2.666164607 1.551299517
14.33333333 2.67359221 1.552618535
14.54716981 2.681033228 1.553934247
14.76100629 2.688487572 1.555246637
14.97484277 2.695955155 1.556555694
15.18867925 2.703435888 1.557861403
15.40251572 2.710929682 1.559163753
15.6163522 2.718436448 1.56046273
15.83018868 2.725956097 1.561758323
16.04402516 2.733488537 1.563050519
16.25786164 2.741033679 1.564339306
16.47169811 2.74859143 1.565624673
16.68553459 2.7561617 1.566906608
16.89937107 2.763744397 1.568185101
17.11320755 2.771339427 1.569460139
17.32704403 2.778946698 1.570731713
17.5408805 2.786566116 1.571999811
17.75471698 2.794197588 1.573264424
17.96855346 2.80184102 1.574525542
18.18238994 2.809496317 1.575783153
18.39622642 2.817163383 1.57703725
18.61006289 2.824842124 1.578287821
18.82389937 2.832532444 1.579534859
19.03773585 2.840234246 1.580778353
19.25157233 2.847947434 1.582018295
19.46540881 2.855671911 1.583254677
19.67924528 2.863407579 1.58448749
19.89308176 2.871154341 1.585716725
20.10691824 2.878912099 1.586942375
20.32075472 2.886680753 1.588164432
20.53459119 2.894460206 1.589382887
20.74842767 2.902250358 1.590597735
20.96226415 2.91005111 1.591808967
21.17610063 2.917862361 1.593016577
21.38993711 2.925684011 1.594220558
21.60377358 2.93351596 1.595420902
21.81761006 2.941358107 1.596617605
22.03144654 2.94921035 1.597810658
22.24528302 2.957072589 1.599000057
22.4591195 2.96494472 1.600185796
22.67295597 2.972826642 1.601367868
22.88679245 2.980718253 1.602546269
23.10062893 2.98861945 1.603720993
23.31446541 2.996530128 1.604892035
