T kht kdt
3 1.788712739 1.355034296
3.213836478 1.787777474 1.354436093
3.427672956 1.786843797 1.353839527
3.641509434 1.785911705 1.353244592
3.855345912 1.784981195 1.352651283
4.06918239 1.784052264 1.352059595
4.283018868 1.783124908 1.35146952
4.496855346 1.782199124 1.350881054
4.710691824 1.78127491 1.350294191
4.924528302 1.780352261 1.349708924
5.13836478 1.779431174 1.349125248
5.352201258 1.778511647 1.348543157
5.566037736 1.777593676 1.347962647
5.779874214 1.776677257 1.34738371
5.993710692 1.775762389 1.346806342
6.20754717 1.774849067 1.346230537
6.421383648 1.773937289 1.345656288
6.635220126 1.773027051 1.345083592
6.849056604 1.77211835 1.344512442
7.062893082 1.771211184 1.343942833
7.27672956 1.770305548 1.343374758
7.490566038 1.76940144 1.342808213
7.704402516 1.768498857 1.342243193
7.918238994 1.767597796 1.341679692
8.132075472 1.766698254 1.341117704
8.34591195 1.765800227 1.340557225
8.559748428 1.764903712 1.339998248
8.773584906 1.764008707 1.339440769
8.987421384 1.763115209 1.338884782
9.201257862 1.762223214 1.338330282
9.41509434 1.76133272 1.337777264
9.628930818 1.760443723 1.337225722
9.842767296 1.75955622 1.336675652
10.05660377 1.758670209 1.336127048
10.27044025 1.757785687 1.335579905
10.48427673 1.75690265 1.335034217
10.69811321 1.756021095 1.334489981
10.91194969 1.75514102 1.33394719
11.12578616 1.754262422 1.33340584
11.33962264 1.753385298 1.332865925
11.55345912 1.752509645 1.332327441
11.7672956 1.751635459 1.331790383
11.98113208 1.750762739 1.331254744
12.19496855 1.74989148 1.330720523
12.40880503 1.749021681 1.330187711
12.62264151 1.748153338 1.329656305
12.83647799 1.747286449 1.3291263
13.05031447 1.746421011 1.328597691
13.26415094 1.74555702 1.328070474
13.47798742 1.744694474 1.327544642
13.6918239 1.74383337 1.327020192
13.90566038 1.742973705 1.326497119
14.11949686 1.742115477 1.325975418
14.33333333 1.741258683 1.325455084
14.54716981 1.740403319 1.324936113
14.76100629 1.739549384 1.324418499
14.97484277 1.738696873 1.323902238
15.18867925 1.737845785 1.323387326
15.40251572 1.736996117 1.322873758
15.6163522 1.736147866 1.322361529
15.83018868 1.735301028 1.321850635
16.04402516 1.734455602 1.32134107
16.25786164 1.733611585 1.320832831
16.47169811 1.732768974 1.320325913
16.68553459 1.731927766 1.319820311
16.89937107 1.731087958 1.319316021
17.11320755 1.730249548 1.318813039
17.32704403 1.729412534 1.318311358
17.5408805 1.728576911 1.317810977
17.75471698 1.727742678 1.31731189
17.96855346 1.726909832 1.316814092
18.18238994 1.726078371 1.316317579
18.39622642 1.725248291 1.315822347
18.61006289 1.72441959 1.315328392
18.82389937 1.723592265 1.314835708
19.03773585 1.722766314 1.314344292
19.25157233 1.721941733 1.31385414
19.46540881 1.721118522 1.313365247
19.67924528 1.720296675 1.312877609
19.89308176 1.719476192 1.312391221
