T kht kdt
3 1.775849677 1.363426662
3.213836478 1.775192078 1.362720436
3.427672956 1.774533817 1.362015887
3.641509434 1.7738749 1.361313012
3.855345912 1.773215331 1.360611809
4.06918239 1.772555115 1.359912273
4.283018868 1.771894257 1.359214403
4.496855346 1.771232764 1.358518196
4.710691824 1.770570638 1.357823647
4.924528302 1.769907887 1.357130755
5.13836478 1.769244514 1.356439515
5.352201258 1.768580526 1.355749926
5.566037736 1.767915927 1.355061985
5.779874214 1.767250722 1.354375687
5.993710692 1.766584917 1.35369103
6.20754717 1.765918518 1.353008011
6.421383648 1.765251528 1.352326627
6.635220126 1.764583953 1.351646875
6.849056604 1.7639158 1.350968751
7.062893082 1.763247072 1.350292254
7.27672956 1.762577776 1.349617379
7.490566038 1.761907917 1.348944123
7.704402516 1.761237499 1.348272484
7.918238994 1.760566529 1.347602458
8.132075472 1.759895012 1.346934042
8.34591195 1.759222952 1.346267233
8.559748428 1.758550356 1.345602029
8.773584906 1.757877229 1.344938425
8.987421384 1.757203577 1.344276419
9.201257862 1.756529404 1.343616007
9.41509434 1.755854716 1.342957187
9.628930818 1.755179519 1.342299955
9.842767296 1.754503817 1.341644309
10.05660377 1.753827617 1.340990244
10.27044025 1.753150924 1.340337759
10.48427673 1.752473744 1.339686849
10.69811321 1.751796081 1.339037511
10.91194969 1.751117942 1.338389743
11.12578616 1.750439332 1.337743541
11.33962264 1.749760256 1.337098903
11.55345912 1.74908072 1.336455824
11.7672956 1.748400729 1.335814302
11.98113208 1.74772029 1.335174333
12.19496855 1.747039407 1.334535915
12.40880503 1.746358086 1.333899044
12.62264151 1.745676332 1.333263717
12.83647799 1.744994152 1.33262993
13.05031447 1.74431155 1.331997682
13.26415094 1.743628532 1.331366967
13.47798742 1.742945105 1.330737784
13.6918239 1.742261272 1.330110129
13.90566038 1.741577041 1.329483999
14.11949686 1.740892416 1.328859391
14.33333333 1.740207403 1.328236301
14.54716981 1.739522008 1.327614726
14.76100629 1.738836236 1.326994663
14.97484277 1.738150093 1.326376109
15.18867925 1.737463584 1.32575906
15.40251572 1.736776715 1.325143514
15.6163522 1.736089492 1.324529467
15.83018868 1.73540192 1.323916916
16.04402516 1.734714004 1.323305858
16.25786164 1.734025751 1.322696289
16.47169811 1.733337166 1.322088207
16.68553459 1.732648254 1.321481607
16.89937107 1.731959021 1.320876488
17.11320755 1.731269473 1.320272845
17.32704403 1.730579615 1.319670675
17.5408805 1.729889453 1.319069976
17.75471698 1.729198992 1.318470744
17.96855346 1.728508239 1.317872976
18.18238994 1.727817197 1.317276668
18.39622642 1.727125874 1.316681817
18.61006289 1.726434274 1.316088421
18.82389937 1.725742404 1.315496475
19.03773585 1.725050268 1.314905977
19.25157233 1.724357873 1.314316924
19.46540881 1.723665224 1.313729312
19.67924528 1.722972325 1.313143138
19.89308176 1.722279184 1.312558398
20.10691824 1.721585806 1.31197509
20.32075472 1.720892195 1.311393211
20.53459119 1.720198358 1.310812757
20.74842767 1.7195043 1.310233724
20.96226415 1.718810026 1.30965611
21.17610063 1.718115543 1.309079912
21.38993711 1.717420855 1.308505126
21.60377358 1.716725968 1.307931749
21.81761006 1.716030888 1.307359778
22.03144654 1.71533562 1.30678921
22.24528302 1.714640169 1.306220041
22.4591195 1.713944541 1.305652268
22.67295597 1.713248742 1.305085888
22.88679245 1.712552776 1.304520899
23.10062893 1.71185665 1.303957295
23.31446541 1.711160369 1.303395075
23.52830189 1.710463937 1.302834235
23.74213836 1.709767362 1.302274773
23.95597484 1.709070647 1.301716684
24.16981132 1.708373798 1.301159965
24.3836478 1.707676822 1.300604614
24.59748428 1.706979722 1.300050628
24.81132075 1.706282505 1.299498002
25.02515723 1.705585176 1.298946734
25.23899371 1.70488774 1.298396821
25.45283019 1.704190202 1.297848259
25.66666667 1.703492569 1.297301046
25.88050314 1.702794844 1.296755178
26.09433962 1.702097034 1.296210651
26.3081761 1.701399144 1.295667463
26.52201258 1.700701179 1.295125611
26.73584906 1.700003144 1.294585092
26.94968553 1.699305044 1.294045901
27.16352201 1.698606886 1.293508037
27.37735849 1.697908673 1.292971496
27.59119497 1.697210412 1.292436274
27.80503145 1.696512107 1.291902369
28.01886792 1.695813763 1.291369778
28.2327044 1.695115387 1.290838496
28.44654088 1.694416982 1.290308522
28.66037736 1.693718555 1.289779852
28.87421384 1.693020109 1.289252483
29.08805031 1.692321652 1.288726412
29.30188679 1.691623186 1.288201635
29.51572327 1.690924719 1.28767815
29.72955975 1.690226253 1.287155952
29.94339623 1.689527796 1.286635041
30.1572327 1.688829351 1.286115411
30.37106918 1.688130925 1.28559706
30.58490566 1.687432521 1.285079985
30.79874214 1.686734145 1.284564183
31.01257862 1.686035802 1.284049651
31.22641509 1.685337496 1.283536385
31.44025157 1.684639234 1.283024382
31.65408805 1.683941019 1.28251364
31.86792453 1.683242857 1.282004155
32.08176101 1.682544752 1.281495924
32.29559748 1.68184671 1.280988944
32.50943396 1.681148735 1.280483213
32.72327044 1.680450833 1.279978726
32.93710692 1.679753008 1.279475481
33.1509434 1.679055264 1.278973474
33.36477987 1.678357608 1.278472704
33.57861635 1.677660043 1.277973166
33.79245283 1.676962574 1.277474857
34.00628931 1.676265206 1.276977776
34.22012579 1.675567945 1.276481917
34.43396226 1.674870793 1.275987279
34.64779874 1.674173758 1.275493858
34.86163522 1.673476842 1.275001652
35.0754717 1.672780051 1.274510657
35.28930818 1.672083389 1.27402087
35.50314465 1.671386862 1.273532289
35.71698113 1.670690473 1.273044909
35.93081761 1.669994227 1.272558729
36.14465409 1.669298129 1.272073745
