xd xh
0.663009 3.581368
0.662218 3.552407
0.661407 3.523528
0.660575 3.494733
0.659722 3.466023
0.658847 3.437401
0.657951 3.408870
0.657033 3.380432
0.656092 3.352088
0.655129 3.323843
0.654143 3.295697
0.653133 3.267653
0.652099 3.239714
0.651042 3.211883
0.649960 3.184162
0.648853 3.156554
0.647722 3.129061
0.646565 3.101686
0.645383 3.074432
0.644176 3.047302
0.642942 3.020298
0.641683 2.993424
0.640397 2.966682
0.639085 2.940074
0.637747 2.913605
0.636381 2.887277
0.634990 2.861093
0.633571 2.835056
0.632125 2.809169
0.630653 2.783435
0.629153 2.757856
0.627627 2.732438
0.626074 2.707181
0.624495 2.682089
0.622888 2.657166
0.621256 2.632415
0.619597 2.607837
0.617912 2.583438
0.616201 2.559219
0.614465 2.535183
0.612704 2.511335
0.610917 2.487676
0.609107 2.464210
0.607272 2.440939
0.605414 2.417867
0.603533 2.394996
0.601629 2.372330
0.599703 2.349870
0.597756 2.327621
0.595788 2.305584
0.593800 2.283762
0.591793 2.262157
0.589767 2.240773
0.587724 2.219612
0.585663 2.198675
0.583586 2.177966
0.581494 2.157487
0.579387 2.137239
0.577267 2.117225
0.575134 2.097446
0.572989 2.077905
0.570834 2.058603
0.568669 2.039542
0.566496 2.020724
0.564315 2.002149
0.562127 1.983819
0.559934 1.965736
0.557737 1.947900
0.555536 1.930313
0.553333 1.912975
0.551130 1.895887
0.548926 1.879050
0.546723 1.862464
0.544523 1.846130
0.542326 1.830047
0.540133 1.814216
0.537946 1.798636
0.535766 1.783309
0.533593 1.768233
0.531429 1.753408
0.529274 1.738833
0.527130 1.724508
0.524998 1.710432
0.522879 1.696605
0.520773 1.683024
0.518682 1.669690
0.516606 1.656600
0.514547 1.643754
0.512504 1.631150
0.510480 1.618786
0.508474 1.606661
0.506488 1.594772
0.504521 1.583119
0.502576 1.571699
0.500652 1.560510
0.498750 1.549549
0.496870 1.538816
0.495014 1.528306
0.493181 1.518019
0.491372 1.507951
0.489587 1.498100
0.487828 1.488463
0.486094 1.479038
0.484385 1.469821
0.482702 1.460811
0.481045 1.452005
0.479414 1.443399
0.477810 1.434990
0.476232 1.426777
0.474681 1.418755
0.473157 1.410921
0.471660 1.403274
0.470189 1.395809
0.468746 1.388524
0.467329 1.381415
0.465939 1.374481
0.464576 1.367716
0.463239 1.361119
0.461929 1.354686
0.460645 1.348415
0.459388 1.342302
0.458156 1.336344
0.456951 1.330538
0.455771 1.324881
0.454616 1.319370
0.453486 1.314002
0.452382 1.308774
0.451302 1.303683
0.450246 1.298727
0.449214 1.293902
0.448206 1.289205
0.447221 1.284634
0.446260 1.280186
0.445321 1.275857
0.444404 1.271646
0.443510 1.267550
0.442637 1.263565
0.441786 1.259690
0.440955 1.255921
0.440145 1.252257
0.439356 1.248694
0.438586 1.245231
0.437836 1.241864
0.437104 1.238591
0.436392 1.235411
0.435698 1.232320
0.435022 1.229316
0.434364 1.226398
0.433723 1.223563
0.433099 1.220808
0.432492 1.218133
0.431900 1.215534
0.431325 1.213010
0.430765 1.210559
0.430221 1.208178
0.429691 1.205867
0.429175 1.203622
0.428674 1.201443
0.428187 1.199328
0.427713 1.197274
0.427252 1.195280
0.426804 1.193345
0.426369 1.191467
0.425945 1.189644
0.425534 1.187875
0.425134 1.186158
0.424746 1.184492
0.424369 1.182875
0.424002 1.181307
0.423646 1.179785
0.423300 1.178308
0.422965 1.176876
0.422638 1.175486
0.422322 1.174137
0.422014 1.172830
0.421715 1.171561
0.421425 1.170330
0.421144 1.169137
0.420870 1.167979
0.420605 1.166857
0.420348 1.165768
0.420098 1.164712
0.419855 1.163688
0.419620 1.162695
0.419391 1.161732
0.419170 1.160798
0.418955 1.159893
0.418746 1.159015
0.418543 1.158164
0.418347 1.157338
0.418156 1.156538
0.417971 1.155762
0.417792 1.155010
0.417618 1.154281
0.417449 1.153574
0.417286 1.152889
0.417127 1.152224
0.416973 1.151580
0.416823 1.150956
0.416679 1.150351
0.416538 1.149764
0.416402 1.149196
0.416270 1.148645
0.416142 1.148110
0.416018 1.147593
0.415897 1.147091
0.415780 1.146604
0.415667 1.146133
0.415557 1.145676
0.415451 1.145233
0.415348 1.144804
0.415248 1.144388
0.415151 1.143985
0.415057 1.143594
0.414966 1.143215
0.414877 1.142848
0.414792 1.142493
0.414709 1.142148
0.414628 1.141814
0.414550 1.141491
0.414475 1.141177
0.414401 1.140873
0.414330 1.140578
0.414262 1.140293
0.414195 1.140016
0.414130 1.139748
0.414068 1.139489
0.414007 1.139237
0.413948 1.138993
0.413891 1.138757
0.413836 1.138528
0.413782 1.138306
0.413730 1.138091
0.413680 1.137883
0.413631 1.137681
0.413584 1.137485
0.413538 1.137296
0.413493 1.137112
0.413450 1.136934
0.413409 1.136762
0.413368 1.136595
0.413329 1.136433
0.413291 1.136276
0.413254 1.136125
0.413219 1.135977
0.413184 1.135835
0.413151 1.135697
0.413118 1.135563
0.413087 1.135433
0.413057 1.135307
0.413027 1.135185
0.412999 1.135067
0.412971 1.134953
0.412944 1.134842
0.412918 1.134735
0.412893 1.134631
0.412868 1.134530
0.412845 1.134433
0.412822 1.134338
0.412800 1.134247
0.412778 1.134158
0.412757 1.134072
0.412737 1.133989
0.412718 1.133908
0.412699 1.133830
0.412680 1.133754
0.412663 1.133681
0.412645 1.133610
0.412629 1.133541
0.412612 1.133474
0.412597 1.133409
0.412582 1.133347
0.412567 1.133286
0.412553 1.133227
0.412539 1.133170
0.412525 1.133115
0.412512 1.133061
0.412500 1.133010
0.412488 1.132959
0.412476 1.132911
0.412464 1.132864
0.412453 1.132818
0.412443 1.132774
0.412432 1.132731
0.412422 1.132690
0.412412 1.132649
0.412403 1.132610
0.412394 1.132573
0.412385 1.132536
0.412376 1.132501
0.412368 1.132466
0.412360 1.132433
0.412352 1.132401
0.412345 1.132370
0.412337 1.132340
0.412330 1.132310
0.412323 1.132282
0.412317 1.132255
0.412310 1.132228
0.412304 1.132202
0.412298 1.132177
0.412292 1.132153
0.412286 1.132129
0.412281 1.132107
0.412275 1.132085
0.412270 1.132063
0.412265 1.132043
0.412260 1.132023
0.412256 1.132003
0.412251 1.131985
