xd xh
0.250000 0.837217
0.259322 0.868435
0.268644 0.899653
0.277966 0.930871
0.287288 0.962090
0.296610 0.993308
0.305932 1.024526
0.315254 1.055744
0.324576 1.086963
0.333898 1.118181
0.343220 1.149399
0.352542 1.180617
0.361864 1.211836
0.371186 1.243054
0.380508 1.274272
0.389831 1.305490
0.399153 1.336709
0.408475 1.367927
0.417797 1.399145
0.427119 1.430363
0.436441 1.461582
0.445763 1.492800
0.455085 1.524018
0.464407 1.555236
0.473729 1.586454
0.483051 1.617673
0.492373 1.648891
0.501695 1.680109
0.511017 1.711327
0.520339 1.742546
0.529661 1.773764
0.538983 1.804982
0.548305 1.836200
0.557627 1.867419
0.566949 1.898637
0.576271 1.929855
0.585593 1.961073
0.594915 1.992292
0.604237 2.023510
0.613559 2.054728
0.622881 2.085946
0.632203 2.117165
0.641525 2.148383
0.650847 2.179601
0.660169 2.210819
0.669492 2.242038
0.678814 2.273256
0.688136 2.304474
0.697458 2.335692
0.706780 2.366911
0.716102 2.398129
0.725424 2.429347
0.734746 2.460565
0.744068 2.491784
0.753390 2.523002
0.762712 2.554220
0.772034 2.585438
0.781356 2.616657
0.790678 2.647875
0.800000 2.679093
