s expo off
0.01 2.852634 -0.04208610
0.010489 2.852957 -0.04208610
0.011002 2.853296 -0.04208610
0.01154 2.853651 -0.04208610
0.0121044 2.854023 -0.04208610
0.0126964 2.854412 -0.04208610
0.0133173 2.854820 -0.04208610
0.0139685 2.855247 -0.04208610
0.0146516 2.855694 -0.04208610
0.0153682 2.856162 -0.04208610
0.0161197 2.856652 -0.04208610
0.0169081 2.857165 -0.04208610
0.0177349 2.857702 -0.04208610
0.0186022 2.858264 -0.04208610
0.019512 2.858852 -0.04208610
0.0204662 2.859467 -0.04208610
0.0214671 2.860111 -0.04208610
0.0225169 2.860784 -0.04208610
0.0236181 2.861489 -0.04208610
0.0247731 2.862225 -0.04208610
0.0259846 2.862995 -0.04208610
0.0272553 2.863800 -0.04208610
0.0285882 2.864642 -0.04208610
0.0299863 2.865522 -0.04208610
0.0314528 2.866441 -0.04208610
0.0329909 2.867402 -0.04208610
0.0346043 2.868405 -0.04208610
0.0362966 2.869453 -0.04208610
0.0380717 2.870547 -0.04208610
0.0399335 2.871690 -0.04208610
0.0418865 2.872882 -0.04208610
0.0439349 2.874127 -0.04208610
0.0460835 2.875425 -0.04208610
0.0483371 2.876779 -0.04208610
0.050701 2.878191 -0.04208610
0.0531805 2.879664 -0.04208610
0.0557813 2.881198 -0.04208610
0.0585092 2.882796 -0.04208610
0.0613705 2.884461 -0.04208610
0.0643718 2.886195 -0.04208610
0.0675198 2.888000 -0.04208610
0.0708218 2.889878 -0.04208610
0.0742853 2.891831 -0.04208610
0.0779182 2.893862 -0.04208610
0.0817287 2.895973 -0.04208610
0.0857256 2.898167 -0.04208610
0.0899179 2.900444 -0.04208610
0.0943153 2.902809 -0.04208610
0.0989277 2.905263 -0.04208610
0.103766 2.907808 -0.04208610
0.10884 2.910446 -0.04208610
0.114163 2.913179 -0.04208610
0.119746 2.916010 -0.04208610
0.125602 2.918940 -0.04208610
0.131744 2.921971 -0.04208610
0.138187 2.925104 -0.04208610
0.144945 2.928342 -0.04208610
0.152034 2.931685 -0.04208610
0.159469 2.935135 -0.04208610
0.167267 2.938693 -0.04208610
0.175447 2.942360 -0.04208610
0.184028 2.946137 -0.04208610
0.193027 2.950023 -0.04208610
0.202467 2.954020 -0.04208610
0.212369 2.958127 -0.04208610
0.222754 2.962344 -0.04208610
0.233648 2.966671 -0.04208610
0.245074 2.971106 -0.04208610
0.257059 2.975649 -0.04208610
0.269631 2.980298 -0.04208610
0.282817 2.985051 -0.04208610
0.296648 2.989907 -0.04208610
0.311155 2.994864 -0.04208610
0.326372 2.999917 -0.04208610
0.342333 3.005065 -0.04208610
0.359074 3.010304 -0.04208610
0.376634 3.015631 -0.04208610
0.395053 3.021040 -0.04208610
0.414373 3.026529 -0.04208610
0.434637 3.032092 -0.04208610
0.455893 3.037724 -0.04208610
0.478188 3.043421 -0.04208610
0.501573 3.049176 -0.04208610
0.526102 3.054984 -0.04208610
