xd xh
0.648683 3.590766
0.648017 3.565347
0.647338 3.540090
0.646648 3.514998
0.645944 3.490075
0.645229 3.465324
0.644501 3.440747
0.643762 3.416347
0.643010 3.392128
0.642246 3.368093
0.641471 3.344244
0.640684 3.320585
0.639885 3.297119
0.639075 3.273848
0.638253 3.250776
0.637421 3.227905
0.636577 3.205239
0.635723 3.182779
0.634859 3.160530
0.633985 3.138493
0.633100 3.116671
0.632206 3.095066
0.631303 3.073682
0.630390 3.052521
0.629469 3.031585
0.628540 3.010875
0.627603 2.990396
0.626658 2.970148
0.625706 2.950134
0.624747 2.930355
0.623782 2.910814
0.622811 2.891512
0.621835 2.872451
0.620853 2.853633
0.619867 2.835058
0.618877 2.816728
0.617883 2.798645
0.616885 2.780810
0.615886 2.763222
0.614884 2.745884
0.613880 2.728797
0.612875 2.711959
0.611869 2.695373
0.610864 2.679039
0.609858 2.662956
0.608854 2.647125
0.607850 2.631546
0.606849 2.616218
0.605850 2.601142
0.604854 2.586317
0.603861 2.571742
0.602872 2.557417
0.601887 2.543341
0.600907 2.529514
0.599932 2.515933
0.598962 2.502599
0.597999 2.489509
0.597042 2.476663
0.596092 2.464059
0.595150 2.451695
0.594215 2.439570
0.593288 2.427681
0.592370 2.416028
0.591460 2.404608
0.590560 2.393419
0.589669 2.382459
0.588787 2.371725
0.587916 2.361215
0.587054 2.350928
0.586204 2.340860
0.585364 2.331009
0.584534 2.321372
0.583716 2.311947
0.582910 2.302731
0.582114 2.293721
0.581331 2.284914
0.580559 2.276308
0.579799 2.267899
0.579051 2.259686
0.578315 2.251664
0.577591 2.243830
0.576879 2.236183
0.576180 2.228718
0.575493 2.221433
0.574818 2.214325
0.574155 2.207390
0.573505 2.200625
0.572867 2.194028
0.572241 2.187596
0.571627 2.181324
0.571025 2.175211
0.570436 2.169253
0.569858 2.163447
0.569293 2.157790
0.568739 2.152279
0.568197 2.146911
0.567667 2.141683
0.567148 2.136593
0.566640 2.131636
0.566144 2.126811
0.565659 2.122114
0.565185 2.117543
0.564721 2.113095
0.564269 2.108766
0.563827 2.104555
0.563396 2.100459
0.562974 2.096474
0.562563 2.092599
0.562162 2.088831
0.561771 2.085166
0.561389 2.081603
0.561017 2.078140
0.560654 2.074773
0.560300 2.071500
0.559955 2.068320
0.559619 2.065229
0.559291 2.062225
0.558972 2.059307
0.558661 2.056472
0.558359 2.053718
0.558064 2.051042
0.557777 2.048443
0.557498 2.045919
0.557226 2.043468
0.556961 2.041087
0.556704 2.038776
0.556453 2.036532
0.556210 2.034352
0.555973 2.032237
0.555742 2.030183
0.555518 2.028190
0.555300 2.026254
0.555088 2.024376
0.554882 2.022553
0.554682 2.020784
0.554487 2.019067
0.554298 2.017401
0.554114 2.015785
0.553935 2.014216
0.553762 2.012694
0.553593 2.011217
0.553429 2.009785
0.553270 2.008395
0.553116 2.007047
0.552966 2.005739
0.552820 2.004470
0.552679 2.003240
0.552541 2.002046
0.552408 2.000888
0.552278 1.999766
0.552152 1.998677
0.552030 1.997621
0.551912 1.996597
0.551797 1.995604
0.551685 1.994641
0.551577 1.993707
0.551472 1.992802
0.551370 1.991924
0.551271 1.991073
0.551175 1.990247
0.551082 1.989447
0.550991 1.988671
0.550904 1.987919
0.550819 1.987190
0.550736 1.986483
0.550656 1.985798
0.550578 1.985134
0.550503 1.984490
0.550430 1.983865
0.550359 1.983260
0.550291 1.982674
0.550224 1.982105
0.550159 1.981554
0.550097 1.981020
0.550036 1.980502
0.549977 1.980000
0.549920 1.979513
0.549864 1.979042
0.549811 1.978585
0.549758 1.978142
0.549708 1.977713
0.549659 1.977297
0.549612 1.976894
0.549566 1.976503
0.549521 1.976124
0.549478 1.975758
0.549436 1.975402
0.549395 1.975057
0.549356 1.974723
0.549317 1.974400
0.549280 1.974086
0.549245 1.973782
0.549210 1.973488
0.549176 1.973202
0.549143 1.972926
0.549112 1.972658
0.549081 1.972398
0.549051 1.972146
0.549022 1.971902
0.548994 1.971666
0.548967 1.971437
0.548941 1.971215
0.548916 1.971000
0.548891 1.970792
0.548867 1.970590
0.548844 1.970395
0.548821 1.970205
0.548800 1.970021
0.548779 1.969844
0.548758 1.969671
0.548738 1.969504
0.548719 1.969342
0.548701 1.969186
0.548683 1.969034
0.548665 1.968886
0.548648 1.968744
0.548632 1.968606
0.548616 1.968472
0.548601 1.968342
0.548586 1.968216
0.548571 1.968095
0.548557 1.967977
0.548544 1.967862
0.548530 1.967752
0.548518 1.967644
0.548505 1.967540
0.548493 1.967440
0.548482 1.967342
0.548471 1.967247
0.548460 1.967156
0.548449 1.967067
0.548439 1.966981
0.548429 1.966898
0.548419 1.966817
0.548410 1.966739
0.548401 1.966663
0.548392 1.966590
0.548384 1.966519
0.548376 1.966450
0.548368 1.966383
0.548360 1.966318
0.548353 1.966256
0.548346 1.966195
0.548339 1.966136
0.548332 1.966079
0.548325 1.966024
0.548319 1.965971
0.548313 1.965919
0.548307 1.965869
0.548301 1.965820
0.548295 1.965773
0.548290 1.965727
0.548285 1.965683
0.548280 1.965640
0.548275 1.965599
0.548270 1.965559
0.548265 1.965520
0.548261 1.965482
0.548256 1.965445
0.548252 1.965410
0.548248 1.965376
0.548244 1.965342
0.548240 1.965310
0.548237 1.965279
0.548233 1.965249
0.548230 1.965219
0.548226 1.965191
0.548223 1.965164
0.548220 1.965137
0.548217 1.965111
0.548214 1.965086
0.548211 1.965062
0.548208 1.965039
0.548205 1.965016
0.548203 1.964994
0.548200 1.964973
0.548198 1.964952
0.548195 1.964932
0.548193 1.964913
0.548191 1.964894
0.548189 1.964876
0.548186 1.964858
0.548184 1.964841
0.548182 1.964824
0.548181 1.964808
0.548179 1.964793
0.548177 1.964778
0.548175 1.964763
0.548174 1.964749
0.548172 1.964735
0.548170 1.964722
0.548169 1.964709
