lx lk
0.000000 0.000000
0.016844 0.000000
0.033688 0.000000
0.050533 0.000000
0.067377 0.000000
0.084221 0.000000
0.101065 0.000000
0.117909 0.000000
0.134754 0.000000
0.151598 0.000000
0.168442 0.000000
0.185286 0.000000
0.202130 0.000000
0.218975 0.000000
0.235819 0.000000
0.252663 0.000000
0.269507 0.000000
0.286351 0.000000
0.303196 0.000000
0.320040 0.000000
0.336884 0.000000
0.353728 0.000000
0.370572 0.000000
0.387417 0.000000
0.404261 0.000000
0.421105 0.000000
0.437949 0.000000
0.454793 0.000000
0.471638 0.000000
0.488482 0.000000
0.505326 0.000000
0.522170 0.000000
0.539014 0.000000
0.555859 0.000000
0.572703 0.000000
0.589547 0.000000
0.606391 0.000000
0.623235 0.000000
0.640080 0.000000
0.656924 0.000000
0.673768 0.000000
0.690612 0.000000
0.707456 0.000000
0.724301 0.000000
0.741145 0.000000
0.757989 0.000000
0.774833 0.000000
0.791677 0.000000
0.808522 0.000000
0.825366 0.000000
0.842210 0.000000
0.859054 0.000000
0.875898 0.000000
0.892743 0.000000
0.909587 0.000000
0.926431 0.000000
0.943275 0.000000
0.960119 0.000000
0.976964 0.000000
0.993808 0.000000
1.010652 0.000000
1.027496 0.000000
1.044340 0.000000
1.061185 0.000000
1.078029 0.000000
1.094873 0.000000
1.111717 0.000000
1.128561 0.000000
1.145405 0.000000
1.162250 0.000000
1.179094 0.000000
1.195938 0.000000
1.212782 0.000000
1.229626 0.000000
1.246471 0.000000
1.263315 0.000000
1.280159 0.000000
1.297003 0.000000
1.313847 0.000000
1.330692 0.000000
1.347536 0.000000
1.364380 0.000000
1.381224 0.000000
1.398068 0.000000
1.414913 0.000000
1.431757 0.000000
1.448601 0.000000
1.465445 0.000000
1.482289 0.000000
1.499134 0.000000
1.515978 0.000000
1.532822 0.000000
1.549666 0.000000
1.566510 0.000000
1.583355 0.000000
1.600199 0.000000
1.617043 0.000000
1.633887 0.000000
1.650731 0.000000
1.667576 0.000000
1.684420 0.000000
1.701264 0.000000
1.718108 0.000000
1.734952 0.000000
1.751797 0.000000
1.768641 0.000000
1.785485 0.000000
1.802329 0.000000
1.819173 0.000000
1.836018 0.000000
1.852862 0.000000
1.869706 0.000000
1.886550 0.000000
1.903394 0.000000
1.920239 0.000000
1.937083 0.000000
1.953927 0.000000
1.970771 0.000000
1.987615 0.000000
2.004460 0.000000
2.021304 0.000000
2.038148 0.000000
2.054992 0.000000
2.071836 0.000000
2.088681 0.000000
2.105525 0.000000
2.122369 0.000000
2.139213 0.000000
2.156057 0.000000
2.172902 0.000000
2.189746 0.000000
2.206590 0.000000
2.223434 0.000000
2.240278 0.000000
2.257123 0.000000
2.273967 0.000000
2.290811 0.000000
2.307655 0.000000
2.324499 0.000000
2.341344 0.000000
2.358188 0.000000
2.375032 0.000000
2.391876 0.000000
2.408720 0.000000
2.425565 0.000000
2.442409 0.000000
2.459253 0.000000
2.476097 0.000000
2.492941 0.000000
2.509786 0.000000
2.526630 0.000000
2.543474 0.000000
2.560318 0.000000
2.577162 0.000000
2.594007 0.000000
2.610851 0.000000
2.627695 0.000000
2.644539 0.000000
2.661383 0.000000
2.678228 0.000000
2.695072 0.000000
2.711916 0.000000
2.728760 0.000000
2.745604 0.000000
2.762449 0.000000
2.779293 0.000000
2.796137 0.000000
2.812981 0.000000
2.829825 0.000000
2.846670 0.000000
2.863514 0.000000
2.880358 0.000000
2.897202 0.000000
2.914046 0.000000
2.930891 0.000000
2.947735 0.000000
2.964579 0.000000
2.981423 0.000000
2.998267 0.000000
3.015112 0.000000
3.031956 0.000000
3.048800 0.000000
3.065644 0.000000
3.082488 0.000000
3.099333 0.000000
3.116177 0.000000
3.133021 0.000000
3.149865 0.000000
3.166709 0.000000
3.183554 0.000000
3.200398 0.000000
3.217242 0.000000
3.234086 0.000000
3.250930 0.000000
3.267774 0.000000
3.284619 0.000000
3.301463 0.000000
3.318307 0.000000
3.335151 0.000000
3.351995 0.000000
3.368840 0.000000
3.385684 0.000000
3.402528 0.000000
3.419372 0.000000
3.436216 0.000000
3.453061 0.000000
3.469905 0.000000
3.486749 0.000000
3.503593 0.000000
3.520437 0.000000
3.537282 0.000000
3.554126 0.000000
3.570970 0.000000
3.587814 0.000000
3.604658 0.000000
3.621503 0.000000
3.638347 0.000000
3.655191 0.000000
3.672035 0.000000
3.688879 0.000000
