lx lk
0.000000 0.000000
0.016844 0.012606
0.033688 0.025159
0.050533 0.037658
0.067377 0.050102
0.084221 0.062491
0.101065 0.074825
0.117909 0.087103
0.134754 0.099325
0.151598 0.111490
0.168442 0.123598
0.185286 0.135648
0.202130 0.147640
0.218975 0.159574
0.235819 0.171449
0.252663 0.183265
0.269507 0.195022
0.286351 0.206718
0.303196 0.218354
0.320040 0.229929
0.336884 0.241443
0.353728 0.252895
0.370572 0.264285
0.387417 0.275614
0.404261 0.286879
0.421105 0.298081
0.437949 0.309220
0.454793 0.320296
0.471638 0.331307
0.488482 0.342254
0.505326 0.353136
0.522170 0.363953
0.539014 0.374705
0.555859 0.385391
0.572703 0.396011
0.589547 0.406565
0.606391 0.417052
0.623235 0.427473
0.640080 0.437826
0.656924 0.448112
0.673768 0.458331
0.690612 0.468482
0.707456 0.478565
0.724301 0.488579
0.741145 0.498525
0.757989 0.508402
0.774833 0.518210
0.791677 0.527950
0.808522 0.537619
0.825366 0.547220
0.842210 0.556751
0.859054 0.566212
0.875898 0.575603
0.892743 0.584924
0.909587 0.594175
0.926431 0.603355
0.943275 0.612465
0.960119 0.621505
0.976964 0.630474
0.993808 0.639373
1.010652 0.648200
1.027496 0.656957
1.044340 0.665643
1.061185 0.674258
1.078029 0.682802
1.094873 0.691276
1.111717 0.699678
1.128561 0.708010
1.145405 0.716270
1.162250 0.724460
1.179094 0.732579
1.195938 0.740627
1.212782 0.748604
1.229626 0.756510
1.246471 0.764346
1.263315 0.772111
1.280159 0.779806
1.297003 0.787431
1.313847 0.794985
1.330692 0.802469
1.347536 0.809884
1.364380 0.817228
1.381224 0.824503
1.398068 0.831708
1.414913 0.838843
1.431757 0.845910
1.448601 0.852908
1.465445 0.859836
1.482289 0.866697
1.499134 0.873488
1.515978 0.880212
1.532822 0.886868
1.549666 0.893456
1.566510 0.899976
1.583355 0.906430
1.600199 0.912816
1.617043 0.919136
1.633887 0.925389
1.650731 0.931577
1.667576 0.937698
1.684420 0.943754
1.701264 0.949745
1.718108 0.955671
1.734952 0.961533
1.751797 0.967330
1.768641 0.973064
1.785485 0.978733
1.802329 0.984340
1.819173 0.989884
1.836018 0.995365
1.852862 1.000785
1.869706 1.006142
1.886550 1.011439
1.903394 1.016674
1.920239 1.021849
1.937083 1.026963
1.953927 1.032018
1.970771 1.037013
1.987615 1.041949
2.004460 1.046827
2.021304 1.051647
2.038148 1.056409
2.054992 1.061113
2.071836 1.065761
2.088681 1.070352
2.105525 1.074887
2.122369 1.079367
2.139213 1.083791
2.156057 1.088161
2.172902 1.092476
2.189746 1.096737
2.206590 1.100945
2.223434 1.105101
2.240278 1.109203
2.257123 1.113254
2.273967 1.117253
2.290811 1.121201
2.307655 1.125098
2.324499 1.128945
2.341344 1.132742
2.358188 1.136490
2.375032 1.140189
2.391876 1.143839
2.408720 1.147442
2.425565 1.150997
2.442409 1.154506
2.459253 1.157967
2.476097 1.161383
2.492941 1.164753
2.509786 1.168077
2.526630 1.171357
2.543474 1.174593
2.560318 1.177785
2.577162 1.180934
2.594007 1.184039
2.610851 1.187103
2.627695 1.190124
2.644539 1.193104
2.661383 1.196042
2.678228 1.198940
2.695072 1.201798
2.711916 1.204616
2.728760 1.207395
2.745604 1.210135
2.762449 1.212836
2.779293 1.215500
2.796137 1.218126
2.812981 1.220714
2.829825 1.223266
2.846670 1.225782
2.863514 1.228262
2.880358 1.230707
2.897202 1.233117
2.914046 1.235492
2.930891 1.237833
2.947735 1.240140
2.964579 1.242413
2.981423 1.244654
2.998267 1.246863
3.015112 1.249039
3.031956 1.251183
3.048800 1.253297
3.065644 1.255379
3.082488 1.257431
3.099333 1.259452
3.116177 1.261444
3.133021 1.263406
3.149865 1.265340
3.166709 1.267244
3.183554 1.269121
3.200398 1.270969
3.217242 1.272790
3.234086 1.274584
3.250930 1.276351
3.267774 1.278092
3.284619 1.279806
3.301463 1.281495
3.318307 1.283158
3.335151 1.284796
3.351995 1.286410
3.368840 1.287999
3.385684 1.289564
3.402528 1.291105
3.419372 1.292623
3.436216 1.294118
3.453061 1.295589
3.469905 1.297039
3.486749 1.298466
3.503593 1.299872
3.520437 1.301255
3.537282 1.302618
3.554126 1.303960
3.570970 1.305281
3.587814 1.306581
3.604658 1.307862
3.621503 1.309123
3.638347 1.310364
3.655191 1.311586
3.672035 1.312789
3.688879 1.313974
