lx lk
0.000000 0.000000
0.016844 -0.001374
0.033688 -0.002739
0.050533 -0.004093
0.067377 -0.005437
0.084221 -0.006770
0.101065 -0.008093
0.117909 -0.009406
0.134754 -0.010708
0.151598 -0.011999
0.168442 -0.013280
0.185286 -0.014550
0.202130 -0.015809
0.218975 -0.017057
0.235819 -0.018295
0.252663 -0.019522
0.269507 -0.020737
0.286351 -0.021942
0.303196 -0.023136
0.320040 -0.024319
0.336884 -0.025491
0.353728 -0.026652
0.370572 -0.027803
0.387417 -0.028942
0.404261 -0.030070
0.421105 -0.031187
0.437949 -0.032293
0.454793 -0.033388
0.471638 -0.034472
0.488482 -0.035546
0.505326 -0.036608
0.522170 -0.037659
0.539014 -0.038700
0.555859 -0.039729
0.572703 -0.040748
0.589547 -0.041756
0.606391 -0.042753
0.623235 -0.043739
0.640080 -0.044715
0.656924 -0.045680
0.673768 -0.046634
0.690612 -0.047578
0.707456 -0.048511
0.724301 -0.049434
0.741145 -0.050346
0.757989 -0.051248
0.774833 -0.052139
0.791677 -0.053020
0.808522 -0.053891
0.825366 -0.054752
0.842210 -0.055602
0.859054 -0.056443
0.875898 -0.057273
0.892743 -0.058093
0.909587 -0.058904
0.926431 -0.059705
0.943275 -0.060496
0.960119 -0.061277
0.976964 -0.062049
0.993808 -0.062811
1.010652 -0.063564
1.027496 -0.064307
1.044340 -0.065041
1.061185 -0.065765
1.078029 -0.066481
1.094873 -0.067187
1.111717 -0.067885
1.128561 -0.068573
1.145405 -0.069252
1.162250 -0.069923
1.179094 -0.070585
1.195938 -0.071238
1.212782 -0.071883
1.229626 -0.072519
1.246471 -0.073147
1.263315 -0.073766
1.280159 -0.074377
1.297003 -0.074980
1.313847 -0.075575
1.330692 -0.076162
1.347536 -0.076741
1.364380 -0.077311
1.381224 -0.077875
1.398068 -0.078430
1.414913 -0.078978
1.431757 -0.079518
1.448601 -0.080051
1.465445 -0.080577
1.482289 -0.081095
1.499134 -0.081606
1.515978 -0.082110
1.532822 -0.082606
1.549666 -0.083096
1.566510 -0.083579
1.583355 -0.084055
1.600199 -0.084524
1.617043 -0.084987
1.633887 -0.085443
1.650731 -0.085892
1.667576 -0.086335
1.684420 -0.086772
1.701264 -0.087202
1.718108 -0.087626
1.734952 -0.088044
1.751797 -0.088456
1.768641 -0.088862
1.785485 -0.089262
1.802329 -0.089656
1.819173 -0.090044
1.836018 -0.090427
1.852862 -0.090804
1.869706 -0.091175
1.886550 -0.091541
1.903394 -0.091902
1.920239 -0.092257
1.937083 -0.092607
1.953927 -0.092951
1.970771 -0.093291
1.987615 -0.093625
2.004460 -0.093955
2.021304 -0.094279
2.038148 -0.094599
2.054992 -0.094914
2.071836 -0.095224
2.088681 -0.095529
2.105525 -0.095830
2.122369 -0.096126
2.139213 -0.096418
2.156057 -0.096705
2.172902 -0.096988
2.189746 -0.097266
2.206590 -0.097541
2.223434 -0.097811
2.240278 -0.098077
2.257123 -0.098339
2.273967 -0.098596
2.290811 -0.098850
2.307655 -0.099100
2.324499 -0.099346
2.341344 -0.099589
2.358188 -0.099827
2.375032 -0.100062
2.391876 -0.100293
2.408720 -0.100521
2.425565 -0.100745
2.442409 -0.100966
2.459253 -0.101183
2.476097 -0.101396
2.492941 -0.101607
2.509786 -0.101814
2.526630 -0.102018
2.543474 -0.102219
2.560318 -0.102416
2.577162 -0.102611
2.594007 -0.102802
2.610851 -0.102990
2.627695 -0.103176
2.644539 -0.103358
2.661383 -0.103538
2.678228 -0.103715
2.695072 -0.103888
2.711916 -0.104060
2.728760 -0.104228
2.745604 -0.104394
2.762449 -0.104557
2.779293 -0.104718
2.796137 -0.104876
2.812981 -0.105031
2.829825 -0.105184
2.846670 -0.105335
2.863514 -0.105483
2.880358 -0.105629
2.897202 -0.105773
2.914046 -0.105914
2.930891 -0.106053
2.947735 -0.106189
2.964579 -0.106324
2.981423 -0.106456
2.998267 -0.106587
3.015112 -0.106715
3.031956 -0.106841
3.048800 -0.106965
3.065644 -0.107087
3.082488 -0.107207
3.099333 -0.107325
3.116177 -0.107442
3.133021 -0.107556
3.149865 -0.107669
3.166709 -0.107779
3.183554 -0.107888
3.200398 -0.107996
3.217242 -0.108101
3.234086 -0.108205
3.250930 -0.108307
3.267774 -0.108407
3.284619 -0.108506
3.301463 -0.108603
3.318307 -0.108699
3.335151 -0.108793
3.351995 -0.108885
3.368840 -0.108976
3.385684 -0.109066
3.402528 -0.109154
3.419372 -0.109241
3.436216 -0.109326
3.453061 -0.109410
3.469905 -0.109492
3.486749 -0.109574
3.503593 -0.109653
3.520437 -0.109732
3.537282 -0.109809
3.554126 -0.109885
3.570970 -0.109960
3.587814 -0.110033
3.604658 -0.110106
3.621503 -0.110177
3.638347 -0.110247
3.655191 -0.110316
3.672035 -0.110383
3.688879 -0.110450
