lx lk
0.000000 0.000000
0.016844 0.009357
0.033688 0.018761
0.050533 0.028212
0.067377 0.037708
0.084221 0.047251
0.101065 0.056838
0.117909 0.066470
0.134754 0.076145
0.151598 0.085863
0.168442 0.095624
0.185286 0.105427
0.202130 0.115270
0.218975 0.125154
0.235819 0.135078
0.252663 0.145041
0.269507 0.155043
0.286351 0.165082
0.303196 0.175158
0.320040 0.185270
0.336884 0.195418
0.353728 0.205601
0.370572 0.215818
0.387417 0.226068
0.404261 0.236351
0.421105 0.246665
0.437949 0.257011
0.454793 0.267386
0.471638 0.277792
0.488482 0.288226
0.505326 0.298687
0.522170 0.309176
0.539014 0.319691
0.555859 0.330232
0.572703 0.340797
0.589547 0.351386
0.606391 0.361998
0.623235 0.372633
0.640080 0.383288
0.656924 0.393964
0.673768 0.404660
0.690612 0.415374
0.707456 0.426106
0.724301 0.436855
0.741145 0.447621
0.757989 0.458401
0.774833 0.469196
0.791677 0.480005
0.808522 0.490826
0.825366 0.501659
0.842210 0.512503
0.859054 0.523357
0.875898 0.534221
0.892743 0.545092
0.909587 0.555971
0.926431 0.566856
0.943275 0.577747
0.960119 0.588642
0.976964 0.599541
0.993808 0.610444
1.010652 0.621348
1.027496 0.632253
1.044340 0.643158
1.061185 0.654063
1.078029 0.664966
1.094873 0.675866
1.111717 0.686763
1.128561 0.697656
1.145405 0.708544
1.162250 0.719425
1.179094 0.730300
1.195938 0.741166
1.212782 0.752024
1.229626 0.762872
1.246471 0.773710
1.263315 0.784536
1.280159 0.795350
1.297003 0.806151
1.313847 0.816937
1.330692 0.827709
1.347536 0.838465
1.364380 0.849204
1.381224 0.859925
1.398068 0.870629
1.414913 0.881313
1.431757 0.891976
1.448601 0.902619
1.465445 0.913240
1.482289 0.923839
1.499134 0.934414
1.515978 0.944964
1.532822 0.955490
1.549666 0.965989
1.566510 0.976462
1.583355 0.986908
1.600199 0.997324
1.617043 1.007712
1.633887 1.018070
1.650731 1.028397
1.667576 1.038693
1.684420 1.048956
1.701264 1.059187
1.718108 1.069383
1.734952 1.079545
1.751797 1.089672
1.768641 1.099763
1.785485 1.109817
1.802329 1.119834
1.819173 1.129812
1.836018 1.139752
1.852862 1.149652
1.869706 1.159512
1.886550 1.169331
1.903394 1.179109
1.920239 1.188845
1.937083 1.198537
1.953927 1.208187
1.970771 1.217792
1.987615 1.227352
2.004460 1.236868
2.021304 1.246337
2.038148 1.255760
2.054992 1.265136
2.071836 1.274464
2.088681 1.283745
2.105525 1.292976
2.122369 1.302158
2.139213 1.311291
2.156057 1.320374
2.172902 1.329405
2.189746 1.338386
2.206590 1.347315
2.223434 1.356192
2.240278 1.365016
2.257123 1.373787
2.273967 1.382505
2.290811 1.391169
2.307655 1.399778
2.324499 1.408333
2.341344 1.416834
2.358188 1.425278
2.375032 1.433667
2.391876 1.442000
2.408720 1.450277
2.425565 1.458497
2.442409 1.466660
2.459253 1.474766
2.476097 1.482814
2.492941 1.490804
2.509786 1.498737
2.526630 1.506611
2.543474 1.514426
2.560318 1.522183
2.577162 1.529881
2.594007 1.537520
2.610851 1.545100
2.627695 1.552620
2.644539 1.560080
2.661383 1.567481
2.678228 1.574822
2.695072 1.582103
2.711916 1.589324
2.728760 1.596485
2.745604 1.603586
2.762449 1.610626
2.779293 1.617607
2.796137 1.624526
2.812981 1.631386
2.829825 1.638185
2.846670 1.644923
2.863514 1.651601
2.880358 1.658219
2.897202 1.664777
2.914046 1.671274
2.930891 1.677711
2.947735 1.684088
2.964579 1.690404
2.981423 1.696661
2.998267 1.702858
3.015112 1.708995
3.031956 1.715072
3.048800 1.721090
3.065644 1.727048
3.082488 1.732947
3.099333 1.738787
3.116177 1.744568
3.133021 1.750290
3.149865 1.755953
3.166709 1.761558
3.183554 1.767105
3.200398 1.772594
3.217242 1.778025
3.234086 1.783399
3.250930 1.788715
3.267774 1.793975
3.284619 1.799177
3.301463 1.804323
3.318307 1.809413
3.335151 1.814446
3.351995 1.819424
3.368840 1.824347
3.385684 1.829214
3.402528 1.834026
3.419372 1.838784
3.436216 1.843488
3.453061 1.848138
3.469905 1.852734
3.486749 1.857277
3.503593 1.861767
3.520437 1.866204
3.537282 1.870589
3.554126 1.874922
3.570970 1.879204
3.587814 1.883434
3.604658 1.887614
3.621503 1.891743
3.638347 1.895822
3.655191 1.899851
3.672035 1.903831
3.688879 1.907762
