xd F
1.000000 0.000000
1.003049 0.000000
1.006107 0.000000
1.009175 0.000000
1.012251 0.000000
1.015338 0.000000
1.018433 0.000000
1.021538 0.000000
1.024653 0.000000
1.027777 0.000000
1.030910 0.000000
1.034054 0.000000
1.037206 0.000000
1.040369 0.000000
1.043541 0.000000
1.046722 0.000000
1.049914 0.000000
1.053115 0.000000
1.056325 0.000000
1.059546 0.000000
1.062776 0.000000
1.066017 0.000000
1.069267 0.000000
1.072527 0.000000
1.075797 0.000000
1.079077 0.000000
1.082367 0.000000
1.085667 0.000000
1.088977 0.000000
1.092297 0.000000
1.095627 0.000000
1.098968 0.000000
1.102318 0.000000
1.105679 0.000000
1.109050 0.000000
1.112432 0.000000
1.115823 0.000000
1.119225 0.000000
1.122638 0.000000
1.126060 0.000000
1.129494 0.000000
1.132937 0.000000
1.136392 0.000000
1.139856 0.000000
1.143332 0.000000
1.146817 0.000000
1.150314 0.000000
1.153821 0.000000
1.157339 0.000000
1.160868 0.000000
1.164407 0.000000
1.167957 0.000000
1.171518 0.000000
1.175090 0.000000
1.178672 0.000000
1.182266 0.000000
1.185871 0.000000
1.189486 0.000000
1.193113 0.000000
1.196751 0.000000
1.200399 0.000000
1.204059 0.000000
1.207730 0.000000
1.211412 0.000000
1.215106 0.000000
1.218811 0.000000
1.222527 0.000000
1.226254 0.000000
1.229993 0.000000
1.233743 0.000000
1.237504 0.000000
1.241277 0.000000
1.245062 0.000000
1.248858 0.000000
1.252665 0.000000
1.256485 0.000000
1.260315 0.000000
1.264158 0.000000
1.268012 0.000000
1.271878 0.000000
1.275756 0.000000
1.279646 0.000000
1.283547 0.000000
1.287460 0.000000
1.291386 0.000000
1.295323 0.000000
1.299272 0.000000
1.303234 0.000000
1.307207 0.000000
1.311193 0.000000
1.315190 0.000000
1.319200 0.000000
1.323222 0.000000
1.327257 0.000000
1.331303 0.000000
1.335362 0.000000
1.339433 0.000000
1.343517 0.000000
1.347613 0.000000
1.351722 0.000000
1.355843 0.000000
1.359977 0.000000
1.364124 0.000000
1.368283 0.000000
1.372454 0.000000
1.376639 0.000000
1.380836 0.000000
1.385046 0.000000
1.389269 0.000000
1.393505 0.000000
1.397753 0.000000
1.402015 0.000000
1.406289 0.000000
1.410577 0.000000
1.414878 0.000000
1.419191 0.000000
1.423518 0.000000
1.427858 0.000000
1.432212 0.000000
1.436578 0.000000
1.440958 0.000000
1.445352 0.000000
1.449758 0.000000
1.454179 0.000000
1.458612 0.000000
1.463059 0.000000
1.467520 0.000000
1.471994 0.000000
1.476482 0.000000
1.480984 0.000000
1.485499 0.000000
1.490028 0.000000
1.494571 0.000000
1.499128 0.000000
1.503699 0.000000
1.508283 0.000000
1.512882 0.000000
1.517494 0.000000
1.522121 0.000000
1.526762 0.000000
1.531417 0.000000
1.536086 0.000000
1.540769 0.000000
1.545467 0.000000
1.550179 0.000000
1.554905 0.000000
1.559646 0.000000
1.564401 0.000000
1.569170 0.000000
1.573955 0.000000
1.578753 0.000000
1.583567 0.000000
1.588395 0.000000
1.593238 0.000000
1.598095 0.000000
1.602968 0.000000
1.607855 0.000000
1.612757 0.000000
1.617674 0.000000
1.622606 0.000000
1.627553 0.000000
1.632516 0.000000
1.637493 0.000000
1.642485 0.000000
1.647493 0.000000
1.652516 0.000000
1.657555 0.000000
1.662608 0.000000
1.667677 0.000000
1.672762 0.000000
1.677862 0.000000
1.682977 0.000000
1.688109 0.000000
1.693255 0.000000
1.698418 0.000000
1.703596 0.000000
1.708790 0.000000
1.714000 0.000000
1.719226 0.000000
1.724468 0.000000
1.729725 0.000000
1.734999 0.000000
1.740289 0.000000
1.745595 0.000000
1.750917 0.000000
1.756255 0.000000
1.761610 0.000000
1.766981 0.000000
1.772368 0.000000
1.777772 0.000000
1.783192 0.000000
1.788629 0.000000
1.794082 0.000000
1.799552 0.000000
1.805039 0.000000
1.810542 0.000000
1.816062 0.000000
1.821599 0.000000
1.827153 0.000000
1.832724 0.000000
1.838311 0.000000
1.843916 0.000000
1.849538 0.000000
1.855177 0.000000
1.860833 0.000000
1.866507 0.000000
1.872197 0.000000
1.877905 0.000000
1.883631 0.000000
1.889374 0.000000
1.895134 0.000000
1.900912 0.000000
1.906708 0.000000
1.912521 0.000000
1.918352 0.000000
1.924201 0.000000
1.930068 0.000000
1.935952 0.000000
1.941855 0.000000
1.947775 0.000000
1.953714 0.000000
1.959671 0.000000
1.965645 0.000000
1.971638 0.000000
1.977650 0.000000
1.983679 0.000000
1.989727 0.000000
1.995794 0.000000
2.001879 0.000000
2.007982 0.000000
2.014104 0.000000
2.020245 0.000000
2.026404 0.000000
2.032583 0.000000
2.038780 0.000000
2.044996 0.000000
2.051231 0.000000
2.057485 0.000000
2.063758 0.000000
2.070050 0.000000
2.076361 0.000000
2.082692 0.000000
2.089041 0.000000
2.095411 0.000000
2.101799 0.000000
2.108207 0.000000
2.114635 0.000000
2.121082 0.000000
2.127549 0.000000
2.134036 0.000000
2.140542 0.000000
2.147069 0.000000
2.153615 0.000000
2.160181 0.000000
2.166767 0.000000
2.173373 0.000000
2.180000 0.000000
2.186646 0.000000
2.193313 0.000000
2.200000 0.000000
