xd F
1.000000 0.000000
1.003049 -0.000007
1.006107 -0.000027
1.009175 -0.000062
1.012251 -0.000110
1.015338 -0.000173
1.018433 -0.000249
1.021538 -0.000340
1.024653 -0.000445
1.027777 -0.000564
1.030910 -0.000698
1.034054 -0.000847
1.037206 -0.001010
1.040369 -0.001188
1.043541 -0.001380
1.046722 -0.001588
1.049914 -0.001811
1.053115 -0.002048
1.056325 -0.002301
1.059546 -0.002569
1.062776 -0.002852
1.066017 -0.003151
1.069267 -0.003465
1.072527 -0.003795
1.075797 -0.004141
1.079077 -0.004502
1.082367 -0.004879
1.085667 -0.005272
1.088977 -0.005681
1.092297 -0.006106
1.095627 -0.006547
1.098968 -0.007004
1.102318 -0.007478
1.105679 -0.007968
1.109050 -0.008474
1.112432 -0.008997
1.115823 -0.009537
1.119225 -0.010093
1.122638 -0.010666
1.126060 -0.011256
1.129494 -0.011862
1.132937 -0.012486
1.136392 -0.013126
1.139856 -0.013784
1.143332 -0.014459
1.146817 -0.015151
1.150314 -0.015860
1.153821 -0.016587
1.157339 -0.017331
1.160868 -0.018092
1.164407 -0.018871
1.167957 -0.019668
1.171518 -0.020482
1.175090 -0.021315
1.178672 -0.022164
1.182266 -0.023032
1.185871 -0.023918
1.189486 -0.024821
1.193113 -0.025743
1.196751 -0.026683
1.200399 -0.027640
1.204059 -0.028616
1.207730 -0.029610
1.211412 -0.030623
1.215106 -0.031653
1.218811 -0.032703
1.222527 -0.033770
1.226254 -0.034856
1.229993 -0.035960
1.233743 -0.037083
1.237504 -0.038225
1.241277 -0.039385
1.245062 -0.040564
1.248858 -0.041762
1.252665 -0.042978
1.256485 -0.044213
1.260315 -0.045467
1.264158 -0.046740
1.268012 -0.048031
1.271878 -0.049342
1.275756 -0.050671
1.279646 -0.052020
1.283547 -0.053387
1.287460 -0.054774
1.291386 -0.056179
1.295323 -0.057604
1.299272 -0.059048
1.303234 -0.060511
1.307207 -0.061993
1.311193 -0.063494
1.315190 -0.065014
1.319200 -0.066554
1.323222 -0.068112
1.327257 -0.069690
1.331303 -0.071288
1.335362 -0.072904
1.339433 -0.074540
1.343517 -0.076195
1.347613 -0.077869
1.351722 -0.079563
1.355843 -0.081275
1.359977 -0.083007
1.364124 -0.084759
1.368283 -0.086530
1.372454 -0.088319
1.376639 -0.090129
1.380836 -0.091957
1.385046 -0.093805
1.389269 -0.095672
1.393505 -0.097559
1.397753 -0.099464
1.402015 -0.101389
1.406289 -0.103333
1.410577 -0.105297
1.414878 -0.107279
1.419191 -0.109281
1.423518 -0.111302
1.427858 -0.113342
1.432212 -0.115401
1.436578 -0.117480
1.440958 -0.119577
1.445352 -0.121694
1.449758 -0.123829
1.454179 -0.125984
1.458612 -0.128158
1.463059 -0.130350
1.467520 -0.132562
1.471994 -0.134792
1.476482 -0.137042
1.480984 -0.139310
1.485499 -0.141597
1.490028 -0.143903
1.494571 -0.146227
1.499128 -0.148571
1.503699 -0.150933
1.508283 -0.153313
1.512882 -0.155712
1.517494 -0.158130
1.522121 -0.160566
1.526762 -0.163021
