xd F
1.000000 0.000000
1.003049 0.000001
1.006107 0.000005
1.009175 0.000012
1.012251 0.000021
1.015338 0.000033
1.018433 0.000047
1.021538 0.000064
1.024653 0.000084
1.027777 0.000107
1.030910 0.000132
1.034054 0.000160
1.037206 0.000191
1.040369 0.000224
1.043541 0.000260
1.046722 0.000299
1.049914 0.000341
1.053115 0.000386
1.056325 0.000433
1.059546 0.000483
1.062776 0.000537
1.066017 0.000592
1.069267 0.000651
1.072527 0.000713
1.075797 0.000777
1.079077 0.000844
1.082367 0.000914
1.085667 0.000987
1.088977 0.001063
1.092297 0.001142
1.095627 0.001223
1.098968 0.001307
1.102318 0.001395
1.105679 0.001485
1.109050 0.001578
1.112432 0.001674
1.115823 0.001772
1.119225 0.001874
1.122638 0.001978
1.126060 0.002086
1.129494 0.002196
1.132937 0.002309
1.136392 0.002425
1.139856 0.002544
1.143332 0.002666
1.146817 0.002790
1.150314 0.002918
1.153821 0.003048
1.157339 0.003181
1.160868 0.003317
1.164407 0.003456
1.167957 0.003597
1.171518 0.003742
1.175090 0.003889
1.178672 0.004039
1.182266 0.004192
1.185871 0.004348
1.189486 0.004506
1.193113 0.004668
1.196751 0.004832
1.200399 0.004999
1.204059 0.005168
1.207730 0.005340
1.211412 0.005516
1.215106 0.005693
1.218811 0.005874
1.222527 0.006057
1.226254 0.006243
1.229993 0.006432
1.233743 0.006623
1.237504 0.006817
1.241277 0.007014
1.245062 0.007213
1.248858 0.007415
1.252665 0.007620
1.256485 0.007827
1.260315 0.008037
1.264158 0.008249
1.268012 0.008464
1.271878 0.008681
1.275756 0.008902
1.279646 0.009124
1.283547 0.009349
1.287460 0.009577
1.291386 0.009807
1.295323 0.010040
1.299272 0.010275
1.303234 0.010512
1.307207 0.010752
1.311193 0.010995
1.315190 0.011239
1.319200 0.011487
1.323222 0.011736
1.327257 0.011988
1.331303 0.012242
1.335362 0.012499
1.339433 0.012758
1.343517 0.013019
1.347613 0.013283
1.351722 0.013548
1.355843 0.013816
1.359977 0.014087
1.364124 0.014359
1.368283 0.014634
1.372454 0.014911
1.376639 0.015190
1.380836 0.015471
1.385046 0.015754
1.389269 0.016040
1.393505 0.016327
1.397753 0.016617
1.402015 0.016908
1.406289 0.017202
1.410577 0.017498
1.414878 0.017796
1.419191 0.018096
1.423518 0.018397
1.427858 0.018701
1.432212 0.019007
1.436578 0.019314
1.440958 0.019624
1.445352 0.019935
1.449758 0.020249
1.454179 0.020564
1.458612 0.020881
1.463059 0.021200
1.467520 0.021520
1.471994 0.021843
1.476482 0.022167
1.480984 0.022493
1.485499 0.022820
1.490028 0.023150
1.494571 0.023481
1.499128 0.023814
1.503699 0.024148
1.508283 0.024484
1.512882 0.024822
1.517494 0.025161
1.522121 0.025502
1.526762 0.025845
1.531417 0.026189
1.536086 0.026534
1.540769 0.026881
1.545467 0.027230
1.550179 0.027580
1.554905 0.027932
1.559646 0.028285
1.564401 0.028639
1.569170 0.028995
1.573955 0.029352
1.578753 0.029711
1.583567 0.030071
1.588395 0.030432
1.593238 0.030795
1.598095 0.031159
1.602968 0.031524
1.607855 0.031891
1.612757 0.032259
1.617674 0.032628
1.622606 0.032998
1.627553 0.033370
1.632516 0.033743
1.637493 0.034117
1.642485 0.034492
1.647493 0.034868
1.652516 0.035246
1.657555 0.035624
1.662608 0.036004
1.667677 0.036384
1.672762 0.036766
1.677862 0.037149
1.682977 0.037533
1.688109 0.037918
1.693255 0.038303
1.698418 0.038690
1.703596 0.039078
1.708790 0.039467
1.714000 0.039857
1.719226 0.040247
1.724468 0.040639
1.729725 0.041031
1.734999 0.041424
1.740289 0.041819
1.745595 0.042214
1.750917 0.042609
1.756255 0.043006
1.761610 0.043404
1.766981 0.043802
1.772368 0.044201
1.777772 0.044601
1.783192 0.045001
1.788629 0.045402
1.794082 0.045804
1.799552 0.046207
1.805039 0.046610
1.810542 0.047014
1.816062 0.047419
1.821599 0.047824
1.827153 0.048230
1.832724 0.048637
1.838311 0.049044
1.843916 0.049452
1.849538 0.049860
1.855177 0.050269
1.860833 0.050678
1.866507 0.051088
1.872197 0.051499
1.877905 0.051909
1.883631 0.052321
1.889374 0.052733
1.895134 0.053145
1.900912 0.053558
1.906708 0.053971
1.912521 0.054385
1.918352 0.054799
1.924201 0.055214
1.930068 0.055629
1.935952 0.056044
1.941855 0.056460
1.947775 0.056876
1.953714 0.057292
1.959671 0.057709
1.965645 0.058126
1.971638 0.058543
1.977650 0.058961
1.983679 0.059379
1.989727 0.059797
1.995794 0.060216
2.001879 0.060634
2.007982 0.061053
2.014104 0.061472
2.020245 0.061892
2.026404 0.062311
2.032583 0.062731
2.038780 0.063151
2.044996 0.063571
2.051231 0.063992
2.057485 0.064412
2.063758 0.064833
2.070050 0.065254
2.076361 0.065675
2.082692 0.066096
2.089041 0.066517
2.095411 0.066938
2.101799 0.067359
2.108207 0.067780
2.114635 0.068202
2.121082 0.068623
2.127549 0.069045
2.134036 0.069466
2.140542 0.069888
2.147069 0.070310
2.153615 0.070731
2.160181 0.071153
2.166767 0.071574
2.173373 0.071996
2.180000 0.072417
2.186646 0.072839
2.193313 0.073260
2.200000 0.073682
