xd F
1.000000 0.000000
1.003049 0.000006
1.006107 0.000024
1.009175 0.000055
1.012251 0.000097
1.015338 0.000151
1.018433 0.000217
1.021538 0.000294
1.024653 0.000383
1.027777 0.000484
1.030910 0.000595
1.034054 0.000718
1.037206 0.000851
1.040369 0.000995
1.043541 0.001151
1.046722 0.001316
1.049914 0.001492
1.053115 0.001679
1.056325 0.001876
1.059546 0.002082
1.062776 0.002299
1.066017 0.002526
1.069267 0.002762
1.072527 0.003007
1.075797 0.003262
1.079077 0.003527
1.082367 0.003800
1.085667 0.004082
1.088977 0.004373
1.092297 0.004673
1.095627 0.004981
1.098968 0.005298
1.102318 0.005623
1.105679 0.005955
1.109050 0.006296
1.112432 0.006645
1.115823 0.007001
1.119225 0.007365
1.122638 0.007735
1.126060 0.008114
1.129494 0.008499
1.132937 0.008890
1.136392 0.009289
1.139856 0.009694
1.143332 0.010105
1.146817 0.010523
1.150314 0.010947
1.153821 0.011376
1.157339 0.011811
1.160868 0.012252
1.164407 0.012698
1.167957 0.013149
1.171518 0.013605
1.175090 0.014067
1.178672 0.014533
1.182266 0.015003
1.185871 0.015478
1.189486 0.015957
1.193113 0.016440
1.196751 0.016926
1.200399 0.017417
1.204059 0.017911
1.207730 0.018408
1.211412 0.018909
1.215106 0.019412
1.218811 0.019919
1.222527 0.020428
1.226254 0.020939
1.229993 0.021453
1.233743 0.021968
1.237504 0.022486
1.241277 0.023005
1.245062 0.023526
1.248858 0.024049
1.252665 0.024572
1.256485 0.025097
1.260315 0.025622
1.264158 0.026149
1.268012 0.026675
1.271878 0.027202
1.275756 0.027729
1.279646 0.028256
1.283547 0.028783
1.287460 0.029309
1.291386 0.029835
1.295323 0.030360
1.299272 0.030884
1.303234 0.031407
1.307207 0.031928
1.311193 0.032448
1.315190 0.032966
1.319200 0.033483
1.323222 0.033997
1.327257 0.034509
1.331303 0.035018
1.335362 0.035525
1.339433 0.036029
1.343517 0.036530
1.347613 0.037028
1.351722 0.037523
1.355843 0.038014
1.359977 0.038501
1.364124 0.038985
1.368283 0.039464
1.372454 0.039939
1.376639 0.040409
1.380836 0.040875
1.385046 0.041336
1.389269 0.041792
1.393505 0.042242
1.397753 0.042688
1.402015 0.043128
1.406289 0.043561
1.410577 0.043989
1.414878 0.044411
1.419191 0.044827
1.423518 0.045236
1.427858 0.045638
1.432212 0.046034
1.436578 0.046422
1.440958 0.046803
1.445352 0.047177
1.449758 0.047543
1.454179 0.047902
1.458612 0.048252
1.463059 0.048594
1.467520 0.048928
1.471994 0.049254
1.476482 0.049571
1.480984 0.049879
1.485499 0.050178
1.490028 0.050467
1.494571 0.050748
1.499128 0.051018
1.503699 0.051279
1.508283 0.051530
1.512882 0.051771
1.517494 0.052002
1.522121 0.052222
1.526762 0.052432
1.531417 0.052631
1.536086 0.052819
1.540769 0.052996
1.545467 0.053161
1.550179 0.053315
1.554905 0.053457
1.559646 0.053588
1.564401 0.053706
1.569170 0.053813
1.573955 0.053907
1.578753 0.053988
1.583567 0.054057
1.588395 0.054113
1.593238 0.054156
1.598095 0.054186
1.602968 0.054203
1.607855 0.054206
1.612757 0.054196
1.617674 0.054172
1.622606 0.054133
1.627553 0.054081
1.632516 0.054015
1.637493 0.053934
1.642485 0.053838
1.647493 0.053728
1.652516 0.053603
1.657555 0.053463
1.662608 0.053307
1.667677 0.053136
1.672762 0.052950
1.677862 0.052748
1.682977 0.052531
1.688109 0.052297
1.693255 0.052048
1.698418 0.051782
1.703596 0.051500
1.708790 0.051201
1.714000 0.050886
1.719226 0.050553
1.724468 0.050204
1.729725 0.049838
1.734999 0.049455
1.740289 0.049054
1.745595 0.048636
1.750917 0.048201
1.756255 0.047747
1.761610 0.047276
1.766981 0.046787
1.772368 0.046279
1.777772 0.045754
1.783192 0.045210
1.788629 0.044647
1.794082 0.044066
1.799552 0.043467
1.805039 0.042848
1.810542 0.042210
1.816062 0.041554
1.821599 0.040878
1.827153 0.040183
1.832724 0.039468
1.838311 0.038734
1.843916 0.037980
1.849538 0.037207
1.855177 0.036413
1.860833 0.035600
1.866507 0.034766
1.872197 0.033913
1.877905 0.033039
1.883631 0.032145
1.889374 0.031230
1.895134 0.030295
1.900912 0.029339
1.906708 0.028362
1.912521 0.027365
1.918352 0.026347
1.924201 0.025307
1.930068 0.024247
1.935952 0.023165
1.941855 0.022062
1.947775 0.020938
1.953714 0.019792
1.959671 0.018625
1.965645 0.017436
1.971638 0.016225
1.977650 0.014993
1.983679 0.013739
1.989727 0.012463
1.995794 0.011165
2.001879 0.009845
2.007982 0.008503
2.014104 0.007139
2.020245 0.005752
2.026404 0.004344
2.032583 0.002913
2.038780 0.001460
2.044996 -0.000016
2.051231 -0.001514
2.057485 -0.003035
2.063758 -0.004579
2.070050 -0.006145
2.076361 -0.007733
2.082692 -0.009345
2.089041 -0.010979
2.095411 -0.012636
2.101799 -0.014316
2.108207 -0.016019
2.114635 -0.017745
2.121082 -0.019493
2.127549 -0.021265
2.134036 -0.023060
2.140542 -0.024878
2.147069 -0.026719
2.153615 -0.028583
2.160181 -0.030470
2.166767 -0.032380
2.173373 -0.034314
2.180000 -0.036270
2.186646 -0.038250
2.193313 -0.040254
2.200000 -0.042280
