x y
0 -0.04208609552
0.01949152542 0.02318841875
0.03898305085 0.08846293301
0.05847457627 0.1537374473
0.07796610169 0.2190119615
0.09745762712 0.2842864758
0.1169491525 0.3495609901
0.136440678 0.4148355043
0.1559322034 0.4801100186
0.1754237288 0.5453845329
0.1949152542 0.6106590471
0.2144067797 0.6759335614
0.2338983051 0.7412080757
0.2533898305 0.8064825899
0.2728813559 0.8717571042
0.2923728814 0.9370316185
0.3118644068 1.002306133
0.3313559322 1.067580647
0.3508474576 1.132855161
0.3703389831 1.198129676
0.3898305085 1.26340419
0.4093220339 1.328678704
0.4288135593 1.393953218
0.4483050847 1.459227733
0.4677966102 1.524502247
0.4872881356 1.589776761
0.506779661 1.655051275
0.5262711864 1.72032579
0.5457627119 1.785600304
0.5652542373 1.850874818
0.5847457627 1.916149332
0.6042372881 1.981423847
0.6237288136 2.046698361
0.643220339 2.111972875
0.6627118644 2.17724739
0.6822033898 2.242521904
0.7016949153 2.307796418
0.7211864407 2.373070932
0.7406779661 2.438345447
0.7601694915 2.503619961
0.7796610169 2.568894475
0.7991525424 2.634168989
0.8186440678 2.699443504
0.8381355932 2.764718018
0.8576271186 2.829992532
0.8771186441 2.895267046
0.8966101695 2.960541561
0.9161016949 3.025816075
0.9355932203 3.091090589
0.9550847458 3.156365104
0.9745762712 3.221639618
0.9940677966 3.286914132
1.013559322 3.352188646
1.033050847 3.417463161
1.052542373 3.482737675
1.072033898 3.548012189
1.091525424 3.613286703
1.111016949 3.678561218
1.130508475 3.743835732
1.15 3.809110246
