w F
0.0001 -1.103753537
0.000107170483 -1.103722896
0.0001148551242 -1.103690061
0.0001230907914 -1.103654872
0.0001319169956 -1.103617162
0.0001413760814 -1.10357675
0.0001515134292 -1.103533442
0.0001623776739 -1.103487031
0.0001740209374 -1.103437296
0.0001864990791 -1.103383998
0.0001998719639 -1.103326882
0.000214203749 -1.103265675
0.0002295631924 -1.103200085
0.0002460239821 -1.103129797
0.0002636650899 -1.103054477
0.0002825711503 -1.102973763
0.0003028328666 -1.102887272
0.0003245474457 -1.102794588
0.0003478190651 -1.102695271
0.000372759372 -1.102588846
0.0003994880194 -1.102474806
0.0004281332399 -1.102352607
0.000458832461 -1.102221666
0.0004917329646 -1.10208136
0.0005269925932 -1.101931021
0.0005647805074 -1.101769934
0.0006052779976 -1.101597333
0.0006486793535 -1.101412396
0.0006951927962 -1.101214247
0.0007450414774 -1.101001945
0.0007984645498 -1.100774482
0.0008557183145 -1.100530782
0.0009170774507 -1.10026969
0.0009828363333 -1.099989973
0.001053310445 -1.099690308
0.001128837892 -1.099369281
0.001209781021 -1.09902538
0.001296528163 -1.098656986
0.001389495494 -1.098262366
0.001489129032 -1.097839669
0.001595906776 -1.097386913
0.001710341 -1.09690198
0.001832980711 -1.096382606
0.001964414281 -1.095826369
0.002105272273 -1.095230683
0.002256230463 -1.094592783
0.002418013085 -1.093909715
0.002591396301 -1.093178325
0.002777211932 -1.092395245
0.002976351442 -1.091556879
0.003189770215 -1.090659391
0.003418492146 -1.089698687
0.003663614544 -1.0886704
0.003926313402 -1.087569877
0.004207849036 -1.086392157
0.004509572136 -1.085131955
0.004832930239 -1.083783646
0.005179474679 -1.08234124
0.00555086803 -1.080798367
0.005948892078 -1.079148254
0.006375456372 -1.077383706
0.006832607387 -1.075497081
0.007322538338 -1.073480272
0.007847599704 -1.07132468
0.008410310505 -1.069021198
0.00901337039 -1.066560183
0.00965967258 -1.063931441
0.01035231776 -1.061124198
0.01109462894 -1.058127086
0.01189016742 -1.054928124
0.01274274986 -1.051514698
0.01365646657 -1.047873549
0.01463570118 -1.04399076
0.01568515164 -1.039851749
0.01680985277 -1.035441263
0.01801520041 -1.030743381
0.01930697729 -1.025741519
0.02069138081 -1.020418444
0.02217505275 -1.014756295
0.02376511114 -1.008736614
0.02546918439 -1.002340389
0.02729544792 -0.9955481003
0.02925266337 -0.9883397933
0.03135022063 -0.9806951541
0.03359818286 -0.9725936079
0.03600733485 -0.9640144328
0.03858923467 -0.9549368936
0.04135626918 -0.945340396
0.04432171342 -0.935204664
0.04749979435 -0.9245099399
0.05090575902 -0.9132372094
0.05455594781 -0.9013684525
0.05846787277 -0.8888869191
0.06266030164 -0.8757774314
0.06715334791 -0.8620267099
0.0719685673 -0.8476237232
0.07712906118 -0.8325600585
0.08265958739 -0.8168303094
0.08858667904 -0.8004324766
0.09493877179 -0.7833683759
0.1017463403 -0.7656440456
0.1090420443 -0.7472701464
0.1168608855 -0.7282623432
0.1252403755 -0.7086416572
0.1342207153 -0.6884347778
0.1438449888 -0.6676743197
0.1541593693 -0.6463990124
0.1652133406 -0.624653807
0.1770599351 -0.6024898887
0.1897559877 -0.5799645792
0.2033624085 -0.55714112
0.2179444754 -0.5340883259
0.2335721469 -0.5108801037
0.250320398 -0.4875948313
0.2682695795 -0.4643146023
0.2875058041 -0.4411243386
0.3081213589 -0.4181107868
0.3302151485 -0.3953614126
0.3538931695 -0.3729632175
0.3792690191 -0.3510015042
0.4064644396 -0.3295586224
0.4356099031 -0.3087127293
0.4668452371 -0.2885366008
0.5003202954 -0.2690965295
0.5361956771 -0.2504513442
0.5746434969 -0.2326515813
0.6158482111 -0.2157388356
0.6600075023 -0.1997453099
0.707333228 -0.1846935758
0.7580524368 -0.1705965507
0.8124084578 -0.1574576871
0.8706620681 -0.1452713623
0.9330927435 -0.1340234495
1 -0.1236920457
1.07170483 -0.1142483248
1.148551242 -0.1056574848
1.230907914 -0.09787975325
1.319169956 -0.09087141789
1.413760814 -0.08458584941
1.515134292 -0.0789744884
1.623776739 -0.07398777121
1.740209374 -0.06957597522
1.864990791 -0.06568996894
1.998719639 -0.06228185763
2.14203749 -0.0593055201
2.295631924 -0.05671703678
2.460239821 -0.05447501282
2.636650899 -0.05254080327
2.825711503 -0.05087864936
3.028328666 -0.04945573655
3.245474457 -0.04824218574
3.478190651 -0.04721098929
3.72759372 -0.04633790312
3.994880194 -0.04560130542
4.281332399 -0.04498203168
4.58832461 -0.0444631945
4.917329646 -0.04402999533
5.269925932 -0.04366953435
5.647805074 -0.04337062307
6.052779976 -0.0431236036
6.486793535 -0.04292017721
6.951927962 -0.0427532441
7.450414774 -0.0426167555
7.984645498 -0.04250557874
8.557183145 -0.04241537527
9.170774507 -0.04234249148
9.828363333 -0.04228386163
10.53310445 -0.04223692232
11.28837892 -0.04219953747
12.09781021 -0.04216993315
12.96528163 -0.04214664099
13.89495494 -0.04212844962
14.89129032 -0.04211436294
15.95906776 -0.04210356461
17.10341 -0.04209538785
18.32980711 -0.04208928992
19.64414281 -0.04208483065
21.05272273 -0.04208165435
22.56230463 -0.04207947474
24.18013085 -0.0420780624
25.91396301 -0.04207723428
27.77211932 -0.04207684507
29.76351442 -0.04207678006
31.89770215 -0.04207694925
34.18492146 -0.04207728252
36.63614544 -0.04207772572
39.26313402 -0.04207823742
42.07849036 -0.04207878631
45.09572136 -0.04207934905
48.32930239 -0.04207990861
51.79474679 -0.04208045286
55.5086803 -0.04208097347
59.48892078 -0.04208146503
63.75456372 -0.04208192434
68.32607387 -0.04208234986
73.22538338 -0.04208274131
78.47599704 -0.04208309924
84.10310505 -0.04208342488
90.1337039 -0.04208371982
96.5967258 -0.04208398593
103.5231776 -0.04208422524
110.9462894 -0.04208443981
118.9016742 -0.04208463169
127.4274986 -0.04208480288
136.5646657 -0.0420849553
146.3570118 -0.04208509074
156.8515164 -0.0420852109
168.0985277 -0.04208531735
180.1520041 -0.04208541151
193.0697729 -0.04208549469
206.9138081 -0.04208556811
221.7505275 -0.04208563282
237.6511114 -0.04208568982
254.6918439 -0.04208573998
272.9544792 -0.04208578408
292.5266337 -0.04208582283
313.5022063 -0.04208585686
335.9818286 -0.04208588671
360.0733485 -0.0420859129
385.8923467 -0.04208593585
413.5626918 -0.04208595595
443.2171342 -0.04208597356
474.9979435 -0.04208598898
509.0575902 -0.04208600246
545.5594781 -0.04208601426
584.6787277 -0.04208602458
626.6030164 -0.0420860336
671.5334791 -0.04208604148
719.685673 -0.04208604836
771.2906118 -0.04208605438
826.5958739 -0.04208605963
885.8667904 -0.04208606422
949.3877179 -0.04208606822
1017.463403 -0.04208607171
1090.420443 -0.04208607476
1168.608855 -0.04208607742
1252.403755 -0.04208607974
1342.207153 -0.04208608177
1438.449888 -0.04208608353
1541.593693 -0.04208608507
1652.133406 -0.04208608642
1770.599351 -0.04208608759
1897.559877 -0.04208608861
2033.624085 -0.0420860895
2179.444754 -0.04208609027
2335.721469 -0.04208609095
2503.20398 -0.04208609154
2682.695795 -0.04208609205
2875.058041 -0.0420860925
3081.213589 -0.04208609289
3302.151485 -0.04208609323
3538.931695 -0.04208609352
3792.690191 -0.04208609378
4064.644396 -0.042086094
4356.099031 -0.0420860942
4668.452371 -0.04208609437
5003.202954 -0.04208609452
5361.956771 -0.04208609465
5746.434969 -0.04208609476
6158.482111 -0.04208609486
6600.075023 -0.04208609494
7073.33228 -0.04208609502
7580.524368 -0.04208609508
8124.084578 -0.04208609514
8706.620681 -0.04208609519
9330.927435 -0.04208609523
10000 -0.04208609527
10717.0483 -0.0420860953
11485.51242 -0.04208609533
12309.07914 -0.04208609535
13191.69956 -0.04208609537
14137.60814 -0.04208609539
15151.34292 -0.04208609541
16237.76739 -0.04208609542
17402.09374 -0.04208609544
18649.90791 -0.04208609545
19987.19639 -0.04208609546
21420.3749 -0.04208609546
