c F
0.93093 5.463501291
0.9309795787 5.41169723
0.9310318005 5.359900296
0.9310868062 5.308110866
0.9311447444 5.256329339
0.9312057712 5.204556135
0.9312700514 5.152791694
0.9313377584 5.101036483
0.9314090749 5.049290989
0.9314841933 4.997555729
0.9315633163 4.945831244
0.9316466574 4.894118105
0.9317344414 4.842416914
0.9318269053 4.790728303
0.9319242984 4.739052936
0.9320268836 4.687391516
0.9321349377 4.63574478
0.9322487522 4.584113502
0.9323686341 4.532498501
0.9324949071 4.480900636
0.9326279117 4.42932081
0.9327680068 4.377759976
0.9329155705 4.326219134
0.9330710009 4.274699339
0.9332347173 4.223201698
0.9334071615 4.171727376
0.9335887988 4.1202776
0.9337801193 4.06885366
0.9339816391 4.017456913
0.9341939021 3.966088783
0.9344174809 3.914750773
0.9346529787 3.863444457
0.9349010311 3.812171496
0.9351623073 3.760933632
0.9354375122 3.709732697
0.9357273884 3.658570618
0.936032718 3.607449418
0.9363543249 3.556371223
0.9366930768 3.505338269
0.9370498877 3.454352902
0.9374257203 3.403417588
0.9378215888 3.352534916
0.9382385612 3.301707605
0.9386777625 3.25093851
0.9391403779 3.200230625
0.9396276555 3.149587096
0.9401409101 3.099011222
0.9406815266 3.048506464
0.9412509635 2.998076453
0.9418507574 2.947724995
0.9424825265 2.89745608
0.9431479756 2.847273892
0.9438489 2.797182813
0.944587191 2.747187434
0.9453648407 2.697292563
0.9461839472 2.647503232
0.9470467206 2.597824709
0.9479554889 2.548262504
0.948912704 2.498822381
0.9499209487 2.449510363
0.9509829433 2.400332747
0.9521015534 2.351296108
0.953279797 2.302407312
0.9545208534 2.253673524
0.955828071 2.205102218
0.9572049769 2.156701185
0.9586552864 2.108478544
0.9601829125 2.060442748
0.961791977 2.012602595
0.9634868214 1.964967236
0.9652720188 1.91754618
0.9671523858 1.870349304
0.969132996 1.823386859
0.9712191935 1.776669473
0.973416607 1.73020816
0.9757311657 1.684014319
0.9781691145 1.638099741
0.9807370315 1.592476607
0.9834418452 1.547157488
0.9862908538 1.502155348
0.9892917443 1.457483532
0.9924526136 1.413155769
0.9957819902 1.369186159
0.9992888574 1.325589165
1.002982677 1.282379602
1.006873416 1.239572617
1.010971572 1.19718368
1.015288203 1.155228553
1.019834955 1.113723274
1.024624096 1.072684127
1.029668549 1.032127608
1.034981924 0.9920703982
1.040578557 0.9525293172
1.046473549 0.9135212874
1.052682806 0.8750632858
1.059223081 0.8371722949
1.066112021 0.799865249
1.073368213 0.7631589775
1.081011237 0.7270701438
1.089061713 0.691615181
1.097541364 0.6568102244
1.106473069 0.6226710409
1.115880926 0.5892129559
1.125790321 0.5564507779
1.136227991 0.5243987213
1.147222097 0.4930703278
1.158802303 0.4624783882
1.170999856 0.4326348626
1.183847666 0.403550803
1.197380398 0.3752362764
1.211634566 0.3477002908
1.22664863 0.3209507238
1.242463101 0.2949942564
1.259120648 0.26983631
1.276666216 0.2454809907
1.295147146 0.2219310397
1.314613303 0.1991877903
1.33511721 0.1772511341
1.356714189 0.1561194954
1.379462512 0.1357898148
1.403423559 0.1162575428
1.42866198 0.09751664376
1.455245872 0.07955960929
1.483246963 0.06237748305
1.512740805 0.04595989536
1.543806977 0.03029510799
1.5765293 0.01537006877
1.610996065 0.001170475479
1.647300269 -0.01231915167
1.685539866 -0.02511538969
1.725818032 -0.03723582546
1.768243446 -0.04869896239
1.812930578 -0.05952412199
1.86 -0.06973134174
1.909578714 -0.07934127009
1.961800492 -0.08837505992
2.016806235 -0.0968542616
2.07474436 -0.1048007167
2.135771192 -0.1122364535
2.200051391 -0.1191835853
2.267758396 -0.1256642122
2.339074892 -0.1317003277
2.414193302 -0.1373137306
2.493316308 -0.1425259424
2.576657397 -0.1473581314
2.664441436 -0.1518310435
2.756905281 -0.1559649399
2.854298415 -0.1597795424
2.956883621 -0.1632939854
3.06493769 -0.1665267752
3.178752169 -0.1694957568
3.298634148 -0.1722180872
3.42490709 -0.174710215
3.557911698 -0.1769878667
3.698006841 -0.1790660382
3.845570518 -0.1809589925
4.001000881 -0.1826802613
4.164717306 -0.1842426518
4.337161526 -0.1856582571
4.518798824 -0.1869384702
4.710119288 -0.1880940008
4.911639131 -0.1891348952
5.123902086 -0.1900705575
5.347480874 -0.1909097733
5.582978747 -0.1916607341
5.831031116 -0.1923310633
6.092307268 -0.1929278424
6.367512168 -0.1934576376
6.657388363 -0.1939265269
6.962717987 -0.1943401265
7.28432487 -0.1947036177
7.623076759 -0.1950217723
7.979887662 -0.1952989782
8.355720313 -0.195539264
8.75158877 -0.1957463226
9.168561151 -0.1959235342
9.607762515 -0.196073988
10.0703779 -0.1962005031
10.55765552 -0.1963056484
11.07091012 -0.1963917612
