c F
3.96396 5.271508366
3.964171109 5.219682184
3.964393473 5.167861951
3.964627691 5.116047986
3.964874395 5.064240619
3.965134252 5.012440203
3.965407961 4.960647105
3.965696262 4.908861714
3.965999932 4.857084439
3.966319791 4.80531571
3.966656702 4.753555981
3.967011573 4.701805728
3.967385364 4.650065454
3.967779081 4.598335686
3.968193787 4.546616983
3.968630601 4.494909929
3.969090702 4.44321514
3.969575332 4.391533266
3.970085797 4.33986499
3.970623475 4.288211029
3.971189818 4.236572141
3.971786352 4.184949121
3.972414687 4.133342807
3.97307652 4.081754079
3.973773635 4.030183865
3.974507914 3.97863314
3.975281337 3.92710293
3.976095992 3.875594315
3.976954076 3.824108431
3.977857906 3.77264647
3.978809919 3.72120969
3.979812684 3.669799411
3.980868907 3.618417023
3.981981437 3.567063985
3.983153278 3.515741832
3.984387589 3.46445218
3.985687702 3.413196725
3.987057125 3.36197725
3.988499553 3.310795629
3.990018876 3.25965383
3.991619196 3.208553924
3.99330483 3.157498084
3.995080325 3.106488591
3.996950473 3.055527844
3.998920319 3.00461836
4.000995178 2.953762782
4.00318065 2.902963883
4.005482629 2.852224575
4.007907328 2.801547914
4.010461289 2.750937102
4.013151403 2.700395502
4.015984928 2.649926639
4.01896951 2.599534206
4.022113201 2.549222076
4.025424483 2.498994307
4.028912291 2.44885515
4.032586036 2.398809055
4.03645563 2.348860681
4.040531514 2.299014906
4.044824685 2.249276831
4.049346726 2.199651792
4.05410984 2.150145365
4.059126878 2.100763379
4.064411376 2.051511922
4.069977593 2.002397351
4.075840547 1.953426298
4.082016058 1.904605684
4.088520789 1.85594272
4.095372289 1.807444924
4.102589046 1.759120121
4.110190532 1.710976457
4.118197256 1.663022404
4.126630822 1.615266766
4.135513985 1.567718689
4.144870714 1.520387663
4.154726254 1.47328353
4.165107197 1.426416489
4.176041553 1.379797096
4.187558825 1.333436271
4.199690087 1.287345295
4.212468072 1.241535814
4.225927258 1.196019834
4.240103958 1.150809723
