idx bound len
0 -0.8782379456 1.178237946
1 -0.6937010767 0.9937010767
2 -0.4610664797 0.7610664797
3 -0.3969419383 0.6969419383
4 -0.3220213465 0.6220213465
5 -0.2783752819 0.5783752819
6 -0.272491401 0.572491401
7 -0.236814619 0.536814619
8 -0.1944240767 0.4944240767
9 -0.1719850763 0.4719850763
10 -0.1680534471 0.4680534471
11 -0.1600380959 0.4600380959
12 -0.1576148687 0.4576148687
13 -0.1343479527 0.4343479527
14 -0.1026537015 0.4026537015
15 -0.07594151888 0.3759415189
16 -0.07395256266 0.3739525627
17 -0.05962344513 0.3596234451
