gamma_tun,n_temperatures,precision,power
2.35,4,as measured,0.11
2.35,4,2x better,0.43333333333333335
2.35,4,4x better,0.9566666666666667
2.35,8,as measured,0.10333333333333333
2.35,8,2x better,0.32
2.35,8,4x better,0.99
2.35,12,as measured,0.09333333333333334
2.35,12,2x better,0.3566666666666667
2.35,12,4x better,0.9833333333333333
2.5,4,as measured,0.15666666666666668
2.5,4,2x better,0.4533333333333333
2.5,4,4x better,0.9666666666666667
2.5,8,as measured,0.11
2.5,8,2x better,0.39
2.5,8,4x better,0.98
2.5,12,as measured,0.1
2.5,12,2x better,0.45
2.5,12,4x better,0.9866666666666667
2.7,4,as measured,0.13666666666666666
2.7,4,2x better,0.4
2.7,4,4x better,0.9666666666666667
2.7,8,as measured,0.11
2.7,8,2x better,0.30333333333333334
2.7,8,4x better,0.94
2.7,12,as measured,0.11
2.7,12,2x better,0.38333333333333336
2.7,12,4x better,0.9466666666666667
2.9,4,as measured,0.06
2.9,4,2x better,0.23666666666666666
2.9,4,4x better,0.8133333333333334
2.9,8,as measured,0.07666666666666666
2.9,8,2x better,0.21333333333333335
2.9,8,4x better,0.8166666666666667
2.9,12,as measured,0.10333333333333333
2.9,12,2x better,0.2
2.9,12,4x better,0.8466666666666667
